normalized_name,gender
homer simpson,m
marge simpson,f
bart simpson,m
lisa simpson,f
c montgomery burns,m
moe szyslak,m
seymour skinner,m
ned flanders,m
krusty the clown,m
grampa simpson,m
chief wiggum,m
kent brockman,m
milhouse van houten,m
apu nahasapeemapetilon,m
lenny leonard,m
waylon smithers,m
nelson muntz,m
dr julius hibbert,m
edna krabappel-flanders,f
carl carlson,m
rev timothy lovejoy,m
sideshow bob,m
mayor joe quimby,m
comic book guy,m
gary chalmers,m
groundskeeper willie,m
announcer,m
selma bouvier,f
professor jonathan frink,m
barney gumble,m
troy mcclure,m
patty bouvier,f
martin prince,m
otto mann,m
sideshow mel,m
ralph wiggum,m
fat tony,m
lou,m
jimbo jones,m
kirk van houten,m
agnes skinner,f
narrator,m
cletus spuckler,m
gil gunderson,m
lionel hutz,m
snake jailbird,m
kearney zzyzwicz,m
the rich texan,m
herb,m
rainier wolfcastle,m
miss hoover,f
dolph,m
captain horatio mccallister,m
judge snyder,m
mona simpson,f
roger meyers jr,m
manjula nahasapeemapetilon,f
declan desmond,m
maude flanders,f
helen lovejoy,f
blue-haired lawyer,m
luigi,m
lurleen lumpkin,f
dr nick riviera,m
todd flanders,m
lindsay naegle,f
dr marvin monroe,m
duffman,m
mary,f
louie,m
rabbi hyman krustofsky,m
tour guide,m
jasper beardly,m
jacques,m
baseball announcer,m
man,m
luann van houten,f
hank scorpio,m
dr j loren pyror,m
bergstrom,m
salesman,m
annie crawford,f
old jewish man,m
artie ziff,m
woman,f
larry,m
michael,m
charles heathbar,m
frank grimes,m
buck,m
colonel,m
george hw bush,m
dan gillick,m
dewey largo,m
rod flanders,m
marty,m
drederick tatum,m
armin,m
football announcer,m
cecil terwilliger,m
tv announcer,m
principal dondelinger,m
bill,m
brandine del roy,f
chazz busby,m
eddie,m
tab spangler,m
director,m
jakob,m
producer,m
julio,m
manager,m
executive,m
raymondo,m
bleeding gums murphy,m
arnie pye,m
pilot,m
john,m
shauna chalmers,f
teacher,m
cowboy bob,m
hans moleman,m
female executive,f
judge harm,f
ray magini,m
lady gaga,f
wayne,m
commandant,m
clerk,m
herman hermann,m
elon musk,m
diggs,m
squeaky-voiced teen,m
hugh,m
jay,m
zack,m
goodman,m
parson,m
rowan priddis,m
little vicki,f
god,m
warden,m
emily,f
nurse,f
chloe,f
hobo,m
akira,m
bill clinton,m
eduardo,m
jack,m
cheech,m
lanley,m
dr zander,m
host,m
prof august,m
hurlbut,m
guard,m
wally,m
james woods,m
dj,m
birch barlow,m
jacqueline bouvier,f
waiter,m
gloria,f
shary,f
sara sloane,f
track announcer,m
cooder,m
sgt skinner,m
father,m
disco stu,m
karl,m
llewellyn sinclair,m
dr foster,m
becky,f
lt smash,m
gulliver dark,m
captain,m
ben,m
the real bob,m
sherri mackleberry,f
ruth,f
glen,m
coach krupt,m
artie,m
eliza,f
devil,m
rev hooper,m
professor farnsworth,m
mrs muntz,f
father sean,m
mindy,f
jessica,f
kemi,f
walther hotenhoffer,m
janey,f
security guard,m
moog,m
ms melon,f
interviewer,m
ethan foley,m
laura powers,f
dwight,m
roofi,m
nigel bakerbutcher,m
terri mackleberry,f
stillwater,m
howard k duff viii,m
henry viii,m
alec baldwin,m
isabel gutierrez,f
radio announcer,m
mark hamill,m
rex banner,m
farmer,m
chester lampwick,m
bumblebee man,m
colby,m
pierce brosnan,m
mason,m
lyle mccarthy,m
instructor,m
bob costas,m
mrs glick,f
saleswoman,f
robert marlowe,m
voice,m
dr zweig,f
tammy,f
auctioneer,m
ron howard,m
patrick,m
george plimpton,m
betty white,f
10-year-old homer,m
lunchlady dora,f
renee,f
bender,m
frink senior,m
richard dean anderson,m
maxine lombard,f
aide,m
juliet hobbes,f
chong,m
brother faith,m
kim basinger,f
lunchlady doris,f
princess penelope,f
alex,f
british commentator,m
belle,f
reporter,m
doctor,m
cesar,m
jesse grass,m
ms cantwell,f
milo,m
macarthur parker,m
receptionist,f
stan,m
grady,m
madam wu,f
santa claus,m
danielson,m
cashier,m
horst,m
murdock,m
mrs mcconnell,f
alberto,m
number one,m
slick publisher,m
krusty doll,m
barbara,f
edward,m
gina vendetti,f
lifeways editor,m
captain jack,m
rachel,f
jim hope,m
employee,m
simon,m
cain,m
sheriff,m
tabitha,f
casino manager,m
captain bowditch,m
ron rabinowitz,m
martha stewart,f
meathook,m
terence,m
fbi supervisor,m
dave,m
wiseguy,m
officer goodman,m
mike scioscia,m
detective,m
male executive,m
mick jagger,m
allison,f
charlie,m
bligh,m
technician,m
nick,m
colt,m
gabriel,m
randy newman,m
cookie kwan,f
nash castor,m
dr kissingher,m
evan conover,m
lawyer,m
stark richdale,m
mother,f
lloyd,m
inspector wiggum,m
ted nugent,m
evelyn,f
simon cowell,m
goose gladwell,m
johnny tightlips,m
agent johnson,m
darcy,f
accountant,m