title,summary,production_code,original_air_date,season,number_in_season,number_in_series,n,ngram_n,tf,idf,tf_idf
Simpsons Roasting on an Open Fire,ho ho ho ho,7G08,1989-12-17,1,1,1,36,4,0.01282508015675098,4.948759890378168,0.0634682422706142
Bart the Genius,kwyjibo,7G02,1990-01-14,1,2,2,4,1,0.0014503263234227702,6.335054251498059,0.00918789594125897
Homer's Odyssey,nuclear energy,7G03,1990-01-21,1,3,3,5,2,0.0021691973969631237,4.948759890378168,0.010734837072403837
There's No Disgrace Like Home,arrrgh,7G04,1990-01-28,1,4,4,14,1,0.005100182149362477,4.948759890378168,0.025239576854387744
Bart the General,sound off,7G05,1990-02-04,1,5,5,4,2,0.0015785319652722968,6.335054251498059,0.01000008563772385
Moaning Lisa,he belongs,7G06,1990-02-11,1,6,6,4,2,0.0016799664006719867,5.641907070938114,0.009478214314889735
The Call of the Simpsons,bigfoot,7G09,1990-02-18,1,7,7,7,1,0.0031028368794326243,4.948759890378168,0.015355194695322332
The Telltale Head,jebediah,7G07,1990-02-25,1,8,8,7,1,0.002686108979278588,4.543294782270004,0.012203784910165015
Life on the Fast Lane,smooth yes,7G11,1990-03-18,1,9,9,4,2,0.0016155088852988692,6.335054251498059,0.010234336432145491
Homer's Night Out,spy camera,7G10,1990-03-25,1,10,10,11,2,0.00439297124600639,6.335054251498059,0.027829711168721506
The Crepes of Wrath,adil,7G13,1990-04-15,1,11,11,15,1,0.005549389567147614,6.335054251498059,0.035155683970577466
Krusty Gets Busted,krusty,7G12,1990-04-29,1,12,12,40,1,0.014234875444839857,1.324418957401803,0.01885293889539933
Some Enchanted Evening,ba ba ba ba ba,7G01,1990-05-13,1,13,13,23,5,0.009926629261976695,5.236441962829949,0.05198021801687045
"Bart Gets an ""F""",blah blah blah blah,7F03,1990-10-11,2,1,14,28,4,0.010455563853622106,4.137829674161839,0.043263342373611464
Simpson and Delilah,dimoxinil,7F02,1990-10-18,2,2,15,11,1,0.004273504273504274,6.335054251498059,0.027072881416658374
Treehouse of Horror,nevermore,7F04,1990-10-25,2,3,16,10,1,0.004086636697997548,6.335054251498059,0.02588906518797736
Two Cars in Every Garage and Three Eyes on Every Fish,mary bailey,7F01,1990-11-01,2,4,17,9,2,0.0032727272727272726,6.335054251498059,0.020732904823084555
Dancin' Homer,capital city,7F05,1990-11-08,2,5,18,18,2,0.006574141709276844,3.6270040503958487,0.023844438607423402
Dead Putting Society,six plus six,7F08,1990-11-15,2,6,19,5,3,0.0018477457501847746,6.335054251498059,0.011705569570395527
Bart vs. Thanksgiving,im sorry im sorry im,7F07,1990-11-22,2,7,20,8,5,0.003504161191414805,5.641907070938114,0.019770151803550115
Bart the Daredevil,gorge,7F06,1990-12-06,2,8,21,12,1,0.005568445475638051,4.137829674161839,0.023041278928047363
Itchy & Scratchy & Marge,cartoons,7F09,1990-12-20,2,9,22,16,1,0.006560065600656006,2.8385466900315786,0.018621052497132126
Bart Gets Hit by a Car,hutz,7F10,1991-01-10,2,10,23,7,1,0.0024734982332155478,3.501840907441843,0.008661797297559328
"One Fish, Two Fish, Blowfish, Blue Fish",begat,7F12,1991-01-24,2,11,24,8,1,0.002871500358937545,4.948759890378168,0.014210365801516637
The Way We Was,the prom,7F11,1991-01-31,2,12,25,14,2,0.004883153121730032,3.8501476017100584,0.018800860280411866
Homer vs. Lisa and the 8th Commandment,cable,7F13,1991-02-07,2,13,26,26,1,0.008977900552486187,3.0392173854937297,0.027285791444349783
Principal Charming,patty,7F15,1991-02-14,2,14,27,15,1,0.0059976009596161535,2.403228618773733,0.014413606270134344
"Oh Brother, Where Art Thou?",herb,7F16,1991-02-21,2,15,28,18,1,0.006054490413723511,4.389144102442746,0.02657403089269069
"Bart's Dog Gets an ""F""",quilt,7F14,1991-03-07,2,16,29,6,1,0.0026396832380114386,4.948759890378168,0.013063158531574576
Old Money,bea,7F17,1991-03-28,2,17,30,11,1,0.004062038404726735,5.641907070938114,0.022917643198049942
Brush with Greatness,splashmore,7F18,1991-04-11,2,18,31,6,1,0.0023112480739599386,6.335054251498059,0.01464188193720661
Lisa's Substitute,mr bergstrom,7F19,1991-04-25,2,19,32,18,2,0.005917159763313609,5.641907070938114,0.03338406550850955
The War of the Simpsons,general sherman,7F20,1991-05-02,2,20,33,6,2,0.0020304568527918783,6.335054251498059,0.012863054317762558
Three Men and a Comic Book,please dad please dad,7F21,1991-05-09,2,21,34,10,4,0.003575259206292456,5.641907070938114,0.020171280196417996
Blood Feud,heave ho heave ho,7F22,1991-07-11,2,22,35,4,4,0.0014109347442680777,6.335054251498059,0.008938348150261812
Stark Raving Dad,michael jackson,7F24,1991-09-19,3,1,36,22,2,0.007630939993062782,4.389144102442746,0.033493295266645996
Mr. Lisa Goes to Washington,shoe goes,8F01,1991-09-26,3,2,37,6,2,0.002352941176470588,6.335054251498059,0.014906010003524844
When Flanders Failed,touch of death,7F23,1991-10-03,3,3,38,9,3,0.0033027522935779817,6.335054251498059,0.02092311495907616
Bart the Murderer,skinner,8F03,1991-10-10,3,4,39,14,1,0.005579912315663611,1.5310332067648025,0.008543031046116874
Homer Defined,meltdown,8F04,1991-10-17,3,5,40,12,1,0.004267425320056899,4.543294782270004,0.019388171190341412
"Like Father, Like Clown",rabbi,8F05,1991-10-24,3,6,41,22,1,0.007919366450683946,4.137829674161839,0.03276898950020175
Treehouse of Horror II,happy thoughts,8F02,1991-10-31,3,7,42,8,2,0.003362757461118117,6.335054251498059,0.021303250950813146
Lisa's Pony,pony,8F06,1991-11-07,3,8,43,20,1,0.007830853563038372,3.002849741322855,0.02351487659610693
Saturdays of Thunder,nyah,8F07,1991-11-14,3,9,44,28,1,0.01064638783269962,4.948759890378168,0.05268641708387403
Flaming Moe's,flaming,8F08,1991-11-21,3,10,45,25,1,0.009527439024390244,3.6270040503958487,0.03455605993136289
Burns Verkaufen der Kraftwerk,na na,8F09,1991-12-05,3,11,46,14,2,0.0053435114503816794,4.948759890378168,0.026443755139425328
I Married Marge,kool moe dee,8F10,1991-12-26,3,12,47,4,3,0.0016240357287860333,6.335054251498059,0.010288354448230709
Radio Bart,down the well,8F11,1992-01-09,3,13,48,8,3,0.0035826242722794446,6.335054251498059,0.022696119127624037
Lisa the Greek,cincinnati,8F12,1992-01-23,3,14,49,8,1,0.002588159171789065,4.725616339063959,0.01223064727030465
Homer Alone,relaxo,8F14,1992-02-06,3,15,50,8,1,0.0037019898195279964,6.335054251498059,0.023452306345203365
Bart the Lover,zinc,8F16,1992-02-13,3,16,51,10,1,0.0037650602409638554,5.236441962829949,0.01971551943836577
Homer at the Bat,bock,8F13,1992-02-20,3,17,52,10,1,0.003427004797806717,6.335054251498059,0.02171026131424969
Separate Vocations,calm blue ocean,8F15,1992-02-27,3,18,53,4,3,0.001763668430335097,6.335054251498059,0.011172935187827264
Dog of Death,lottery,8F17,1992-03-12,3,19,54,22,1,0.009369676320272573,3.5624655292582776,0.033379148911278585
Colonel Homer,lurleen,8F19,1992-03-26,3,20,55,19,1,0.00781571369806664,5.236441962829949,0.040926531178020996
Black Widower,selma,8F20,1992-04-09,3,21,56,31,1,0.012006196746707979,2.3838105329166317,0.028620498265071875
The Otto Show,bus driver,8F21,1992-04-23,3,22,57,12,2,0.004899959167006942,4.255612709818223,0.020852328508705054
Bart's Friend Falls in Love,samantha,8F22,1992-05-07,3,23,58,10,1,0.004116920543433511,6.335054251498059,0.026080914991758165
"Brother, Can You Spare Two Dimes?",herb,8F23,1992-08-27,3,24,59,16,1,0.005862953462806889,4.389144102442746,0.02573334761417513
Kamp Krusty,kamp,8F24,1992-09-24,4,1,60,13,1,0.005478297513695744,6.335054251498059,0.03470531195510947
A Streetcar Named Marge,blanche,8F18,1992-10-01,4,2,61,12,1,0.005714285714285714,5.236441962829949,0.029922525501885424
Homer the Heretic,la la la,9F01,1992-10-08,4,3,62,9,3,0.0044598612487611496,3.076957713476577,0.0137228044704109
Lisa the Beauty Queen,little miss springfield,9F02,1992-10-15,4,4,63,15,3,0.006967022758941012,6.335054251498059,0.044136467149313
Treehouse of Horror III,homer homer homer homer,9F04,1992-10-29,4,5,64,6,4,0.003924133420536298,5.641907070938114,0.02213959609262831
Itchy & Scratchy: The Movie,scratchy movie,9F03,1992-11-03,4,6,65,8,2,0.0038424591738712775,6.335054251498059,0.024342187325640956
Marge Gets a Job,mister burns,9F05,1992-11-05,4,7,66,6,2,0.002646669607410675,5.236441962829949,0.013859131793991926
New Kid on the Block,all you can eat,9F06,1992-11-12,4,8,67,7,4,0.0030581039755351682,4.725616339063959,0.014451426113345439
Mr. Plow,plow,9F07,1992-11-19,4,9,68,44,1,0.02034211742949607,4.137829674161839,0.0841722171350536
Lisa's First Word,wooja,9F08,1992-12-03,4,10,69,7,1,0.0031890660592255125,6.335054251498059,0.020202906496804743
Homer's Triple Bypass,bed goes,9F09,1992-12-17,4,11,70,11,2,0.0046393926613243356,6.335054251498059,0.02939080420349163
Marge vs. the Monorail,monorail,9F10,1993-01-14,4,12,71,28,1,0.01195049082373026,5.236441962829949,0.06257805162579538
Selma's Choice,duff gardens,9F11,1993-01-21,4,13,72,11,2,0.0056093829678735335,6.335054251498059,0.03553574541890803
Brother from the Same Planet,pick up bart,9F12,1993-02-04,4,14,73,5,3,0.0027129679869777536,6.335054251498059,0.01718679938008155
I Love Lisa,ralph,9F13,1993-02-11,4,15,74,21,1,0.009292035398230088,2.0723743744567433,0.019256576045836995
Duffless,duff,9F14,1993-02-18,4,16,75,18,1,0.008666345690900338,2.6214821847937513,0.02271867083595933
Last Exit to Springfield,dental plan,9F15,1993-03-11,4,17,76,19,2,0.009373458312777503,5.641907070938114,0.052884180734003035
So It's Come to This: A Simpsons Clip Show,april fools,9F17,1993-04-01,4,18,77,9,2,0.006211180124223602,5.236441962829949,0.032524484241179805
The Front,he he he he,9F16,1993-04-15,4,19,78,9,4,0.004283674440742504,6.335054251498059,0.027137309977859368
Whacking Day,whacking day,9F18,1993-04-29,4,20,79,16,2,0.0073937153419593345,6.335054251498059,0.046839587811445905
Marge in Chains,around and around and,9F20,1993-05-06,4,21,80,4,4,0.001937984496124031,5.641907070938114,0.010933928432050608
Krusty Gets Kancelled,gabbo,9F19,1993-05-13,4,22,81,18,1,0.008237986270022883,4.948759890378168,0.040767816030575305
Homer's Barbershop Quartet,be sharps,9F21,1993-09-30,5,1,82,10,2,0.004889975550122249,6.335054251498059,0.030978260398523517
Cape Feare,sideshow bob,9F22,1993-10-07,5,2,83,10,2,0.006031363088057901,3.339321977944068,0.02014066331691235
Homer Goes to College,curly straight,1F02,1993-10-14,5,3,84,6,2,0.00234375,6.335054251498059,0.014847783401948575
Rosebud,bobo,1F01,1993-10-21,5,4,85,14,1,0.00631768953068592,4.725616339063959,0.029854976871342698
Treehouse of Horror IV,lu lu,1F04,1993-10-28,5,5,86,14,2,0.0067178502879078695,5.641907070938114,0.03790148704085105
Marge on the Lam,ballet,1F03,1993-11-04,5,6,87,9,1,0.0035335689045936395,3.9371589786996886,0.013912222539574871
Bart's Inner Child,brad goodman,1F05,1993-11-11,5,7,88,8,2,0.003289473684210526,6.335054251498059,0.02083899424834888
Boy-Scoutz 'n the Hood,do do,1F06,1993-11-18,5,8,89,10,2,0.004719207173194903,3.501840907441843,0.016525912729786894
The Last Temptation of Homer,mindy,1F07,1993-12-09,5,9,90,15,1,0.006538796861377506,4.948759890378168,0.03235893563891566
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",casino,1F08,1993-12-16,5,10,91,20,1,0.007665772326561901,3.770104894036522,0.02890076576494076
Homer the Vigilante,burglar,1F09,1994-01-06,5,11,92,18,1,0.007623888182973317,4.255612709818223,0.03244431544969421
Bart Gets Famous,i didnt do it,1F11,1994-02-03,5,12,93,16,4,0.006941431670281995,3.770104894036522,0.02616992551175026
Homer and Apu,mart,1F10,1994-02-10,5,13,94,25,1,0.00971628449280995,2.528391761727739,0.02456657366622366
Lisa vs. Malibu Stacy,stacy,1F12,1994-02-17,5,14,95,34,1,0.012597258243793997,3.5624655292582776,0.044877298256680784
Deep Space Homer,worker of the week,1F13,1994-02-24,5,15,96,4,4,0.0017204301075268817,6.335054251498059,0.010899018067093435
Homer Loves Flanders,ned,1F14,1994-03-17,5,16,97,26,1,0.010851419031719533,1.7199337346567993,0.018663721661551246
Bart Gets an Elephant,stampy,1F15,1994-03-31,5,17,98,22,1,0.009094667217858619,5.236441962829949,0.04762369705756878
Burns' Heir,heir,1F16,1994-04-14,5,18,99,4,1,0.0017064846416382253,5.236441962829949,0.00893590778639923
Sweet Seymour Skinner's Baadasssss Song,skinner,1F18,1994-04-28,5,19,100,14,1,0.005638340716874748,1.5310332067648025,0.008632486868589301
The Boy Who Knew Too Much,meow meow meow,1F19,1994-05-05,5,20,101,14,3,0.006084311169056932,6.335054251498059,0.038544441338971246
Lady Bouvier's Lover,i love ya,1F21,1994-05-12,5,21,102,9,3,0.0037942664418212477,4.948759890378168,0.018776913580692882
Secrets of a Successful Marriage,can teach a class,1F20,1994-05-19,5,22,103,4,4,0.0015100037750094375,6.335054251498059,0.009565955834651656
Bart of Darkness,pool,1F22,1994-09-04,6,1,104,17,1,0.008669046404895462,2.3460702049337847,0.02033819147571359
Lisa's Rival,allison,1F17,1994-09-11,6,2,105,14,1,0.005313092979127135,6.335054251498059,0.033658732266023846
Another Simpsons Clip Show,unsexy,2F33,1994-09-25,6,3,106,4,1,0.001776988005330964,5.641907070938114,0.010025601192248981
Itchy & Scratchy Land,scratchy land,2F01,1994-10-02,6,4,107,12,2,0.005862237420615535,5.641907070938114,0.033074198754888796
Sideshow Bob Roberts,bob,2F02,1994-10-09,6,5,108,29,1,0.011712439418416801,2.2079198664529676,0.025860127676549296
Treehouse of Horror V,gimme the bat,2F03,1994-10-30,6,6,109,5,3,0.002535496957403651,6.335054251498059,0.016062510779660394
Bart's Girlfriend,jessica,2F04,1994-11-06,6,7,110,18,1,0.007481296758104738,5.236441962829949,0.03917537628052331
Lisa on Ice,fight fight fight fight fight,2F05,1994-11-13,6,8,111,9,5,0.004072398190045249,5.641907070938114,0.022976092144091867
Homer Badman,gummy,2F06,1994-11-27,6,9,112,12,1,0.004739336492890996,4.137829674161839,0.019610567176122463
Grampa vs. Sexual Inadequacy,tonic,2F07,1994-12-04,6,10,113,7,1,0.002892561983471074,4.389144102442746,0.012695871370702156
Fear of Flying,let me off let me,2F08,1994-12-18,6,11,114,12,5,0.0050041701417848205,6.335054251498059,0.031701689331933576
Homer the Great,stonecutters,2F09,1995-01-08,6,12,115,16,1,0.006864006864006864,6.335054251498059,0.043483855866138545
And Maggie Makes Three,knightboat,2F10,1995-01-22,6,13,116,5,1,0.0022232103156958646,6.335054251498059,0.014084157962423429
Bart's Comet,comet,2F11,1995-02-05,6,14,117,17,1,0.00728363324764353,4.948759890378168,0.036044952072163176
Homie the Clown,krusty,2F12,1995-02-12,6,15,118,46,1,0.01921470342522974,1.324418957401803,0.025448317477227627
Bart vs. Australia,australia,2F13,1995-02-19,6,16,119,13,1,0.005941499085923218,4.948759890378168,0.02940305236513537
Homer vs. Patty and Selma,sallright,2F14,1995-02-26,6,17,120,6,1,0.0020611473720371005,6.335054251498059,0.013057480422187686
A Star Is Burns,festival,2F31,1995-03-05,6,18,121,13,1,0.0054621848739495795,3.002849741322855,0.016402120435797106
Lisa's Wedding,hugh,2F15,1995-03-19,6,19,122,15,1,0.00581170089112747,4.137829674161839,0.02404782840466005
Two Dozen and One Greyhounds,puppies,2F18,1995-04-09,6,20,123,12,1,0.005432322317790856,3.9371589786996886,0.021387916588680972
The PTA Disbands,teachers,2F19,1995-04-16,6,21,124,15,1,0.005900865460267506,2.403228618773733,0.014181128749648308
'Round Springfield,dee dee dee dee,2F32,1995-04-30,6,22,125,10,4,0.004374453193350831,5.641907070938114,0.024680258403053868
The Springfield Connection,cop,2F21,1995-05-07,6,23,126,10,1,0.003977724741447892,2.7797061900086453,0.011056906085953243
Lemon of Troy,a part of us all,2F22,1995-05-14,6,24,127,6,5,0.0026513477684489617,6.335054251498059,0.016796431952712486
Who Shot Mr. Burns? (Part One),oil,2F16,1995-05-21,6,25,128,14,1,0.005555555555555556,2.327721066265588,0.01293178370147549
Who Shot Mr. Burns? (Part Two),burns,2F20,1995-09-17,7,1,129,33,1,0.01166902404526167,1.0880301793375726,0.0126962503246605
Radioactive Man,fallout boy,2F17,1995-09-24,7,2,130,18,2,0.007275666936135812,4.948759890378168,0.036005528709299524
Home Sweet Homediddly-Dum-Doodily,lice,3F01,1995-10-01,7,3,131,6,1,0.00251994960100798,4.543294782270004,0.011448873873842934
Bart Sells His Soul,soul,3F02,1995-10-08,7,4,132,40,1,0.016353229762878167,1.8241947449812088,0.029831475796912654
Lisa the Vegetarian,you dont win friends with,3F03,1995-10-15,7,5,133,9,5,0.003998223011994669,6.335054251498059,0.0253289596905742
Treehouse of Horror VI,crap crap crap,3F04,1995-10-29,7,6,134,6,3,0.0030659172202350538,6.335054251498059,0.01942275192079119
King-Size Homer,hi ya ya,3F05,1995-11-05,7,7,135,7,3,0.0029723991507431,6.335054251498059,0.018830309877064296
Mother Simpson,yoy,3F06,1995-11-19,7,8,136,4,1,0.0014738393515106854,6.335054251498059,0.00933685224981291
Sideshow Bob's Last Gleaming,bob,3F08,1995-11-26,7,9,137,16,1,0.006799830004249894,2.2079198664529676,0.015013479754886308
The Simpsons 138th Episode Spectacular,shake shake,3F31,1995-12-03,7,10,138,9,2,0.004105839416058394,6.335054251498059,0.02601071544866904
Marge Be Not Proud,bonestorm,3F07,1995-12-17,7,11,139,8,1,0.0032388663967611335,6.335054251498059,0.02051839433683582
Team Homer,down with homework,3F10,1996-01-07,7,12,140,8,3,0.0031834460803820135,6.335054251498059,0.020167303625938906
Two Bad Neighbors,bush,3F09,1996-01-14,7,13,141,21,1,0.008045977011494253,3.1570004211501135,0.025401152813851486
Scenes from the Class Struggle in Springfield,mom mom mom,3F11,1996-02-04,7,14,142,4,3,0.0015343306482546988,5.236441962829949,0.008034433391376983
Bart the Fink,krusty,3F12,1996-02-11,7,15,143,35,1,0.013054830287206266,1.324418957401803,0.017290064718039202
Lisa the Iconoclast,jebediah,3F13,1996-02-18,7,16,144,31,1,0.012152097216777734,4.543294782270004,0.05521055987862411
Homer the Smithers,mr burns,3F14,1996-02-25,7,17,145,26,2,0.009863429438543247,1.3862943611198906,0.013673616611956431
The Day the Violence Died,myers,3F16,1996-03-17,7,18,146,17,1,0.00661993769470405,5.236441962829949,0.03466491953586804
A Fish Called Selma,dr zaius,3F15,1996-03-24,7,19,147,20,2,0.007541478129713424,6.335054251498059,0.04777567308822066
Bart on the Road,grammar rodeo,3F17,1996-03-31,7,20,148,9,2,0.0034078000757288905,5.641907070938114,0.019226491343598266
22 Short Films About Springfield,steamed,3F18,1996-04-14,7,21,149,8,1,0.003389830508474576,4.137829674161839,0.014026541268345218
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",hellfish,3F19,1996-04-28,7,22,150,8,1,0.0033222591362126247,6.335054251498059,0.021046691865442058
Much Apu About Nothing,24,3F20,1996-05-05,7,23,151,14,1,0.005376344086021506,4.389144102442746,0.023597548937864227
Homerpalooza,hullabalooza,3F21,1996-05-19,7,24,152,5,1,0.002074688796680498,6.335054251498059,0.013143266081946181
Summer of 4 Ft. 2,like you know whatever,3F22,1996-05-19,7,25,153,3,4,0.0014381591562799617,6.335054251498059,0.009110816277322234
Treehouse of Horror VII,hugo,4F02,1996-10-27,8,1,154,9,1,0.004293893129770993,6.335054251498059,0.027202045927234034
You Only Move Twice,scorpio,3F23,1996-11-03,8,2,155,7,1,0.002685078634445723,6.335054251498059,0.01701011881875198
The Homer They Fall,tatum,4F03,1996-11-10,8,3,156,12,1,0.004557538928978352,3.8501476017100584,0.017547197577106228
"Burns, Baby Burns",larry,4F05,1996-11-17,8,4,157,22,1,0.007760141093474427,2.901067047012913,0.022512689606449414
Bart After Dark,burlesque house,4F06,1996-11-24,8,5,158,10,2,0.0040436716538617065,6.335054251498059,0.025616879302458793
A Milhouse Divided,luann,4F04,1996-12-01,8,6,159,11,1,0.004227517294388932,3.6959969218828004,0.015624890907267796
Lisa's Date with Density,nelson,4F01,1996-12-15,8,7,160,18,1,0.0066815144766146995,1.8241947449812088,0.012188383596756407
Hurricane Neddy,ned,4F07,1996-12-29,8,8,161,18,1,0.00706436420722135,1.7199337346567993,0.012150238313902037
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),soul mate,3F24,1997-01-05,8,9,162,16,2,0.007633587786259542,4.543294782270004,0.034681639559313006
The Springfield Files,alien,3G01,1997-01-12,8,10,163,14,1,0.006129597197898424,3.6959969218828004,0.022654972375814014
The Twisted World of Marge Simpson,pretzel,4F08,1997-01-19,8,11,164,13,1,0.005387484459179445,4.255612709818223,0.0229270473384322
Mountain of Madness,cabin,4F10,1997-02-02,8,12,165,13,1,0.005691768826619965,4.137829674161839,0.023551569949257403
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,bobbins,3G03,1997-02-07,8,13,166,15,1,0.0068775790921595595,6.335054251498059,0.04356983666779958
The Itchy & Scratchy & Poochie Show,poochie,4F12,1997-02-09,8,14,167,31,1,0.011434894872740686,4.032469158504013,0.046110860905062494
Homer's Phobia,deer,4F11,1997-02-16,8,15,168,9,1,0.003387278885961611,3.6270040503958487,0.012285674239203102
Brother from Another Series,cecil,4F14,1997-02-23,8,16,169,13,1,0.005044625533566162,4.725616339063959,0.023838964845879496
"My Sister, My Sitter",babysitter,4F13,1997-03-02,8,17,170,9,1,0.003515625,3.9371589786996886,0.013841574534491093
Homer vs. the Eighteenth Amendment,prohibition,4F15,1997-03-16,8,18,171,14,1,0.005588822355289421,5.641907070938114,0.03153161636452439
Grade School Confidential,edna,4F09,1997-04-06,8,19,172,16,1,0.006081337894336754,2.5064128550089637,0.015242343474018783
The Canine Mutiny,laddie,4F16,1997-04-13,8,20,173,14,1,0.005894736842105263,4.948759890378168,0.029171637248544994
The Old Man and the Lisa,recycling,4F17,1997-04-20,8,21,174,12,1,0.004475941812756434,4.725616339063959,0.02115158376306136
In Marge We Trust,mr sparkle,4F18,1997-04-27,8,22,175,7,2,0.003043478260869565,5.641907070938114,0.017171021520246434
Homer's Enemy,its him its him,4F19,1997-05-04,8,23,176,10,4,0.004046944556859571,6.335054251498059,0.025637613320510153
The Simpsons Spin-Off Showcase,big daddy,4F20,1997-05-11,8,24,177,6,2,0.002529510961214165,5.641907070938114,0.014271265778089664
The Secret War of Lisa Simpson,military school,4F21,1997-05-18,8,25,178,6,2,0.002506265664160401,6.335054251498059,0.015877328951122954
The City of New York vs. Homer Simpson,new york,4F22,1997-09-21,9,1,179,12,2,0.006482982171799027,2.6214821847937513,0.016995022267706654
The Principal and the Pauper,armin,4F23,1997-09-28,9,2,180,11,1,0.004027828634199927,6.335054251498059,0.025516512913393866
Lisa's Sax,air conditioner,3G02,1997-10-19,9,3,181,7,2,0.003015941404566997,3.9371589786996886,0.011874240780223103
Treehouse of Horror VIII,witch,5F02,1997-10-26,9,4,182,11,1,0.0054428500742206825,3.1570004211501135,0.017183079976571623
The Cartridge Family,gun,5F01,1997-11-02,9,5,183,26,1,0.011348756001745963,1.802454758344803,0.02045561925664115
Bart Star,youre cut,5F03,1997-11-09,9,6,184,7,2,0.0029914529914529917,6.335054251498059,0.018951016991660862
The Two Mrs. Nahasapeemapetilons,i got zero,5F04,1997-11-16,9,7,185,5,3,0.0019880715705765406,6.335054251498059,0.012594541255463337
Lisa the Skeptic,angel,5F05,1997-11-23,9,8,186,37,1,0.013800820589332338,2.528391761727739,0.034893881083150446
Realty Bites,that house,5F06,1997-12-07,9,9,187,6,2,0.0024906600249066002,4.389144102442746,0.010931865759508707
Miracle on Evergreen Terrace,washcloth,5F07,1997-12-21,9,10,188,6,1,0.002857142857142857,5.236441962829949,0.014961262750942712
