title,summary,production_code,original_air_date,season,number_in_season,number_in_series,n,ngram_n,tf,idf,tf_idf
"All Singing, All Dancing",gonna paint,5F24,1998-01-04,9,11,189,6,2,0.0079155672823219,4.948759890378168,0.03917224187634434
Bart Carny,ding ding,5F08,1998-01-11,9,12,190,16,2,0.00641025641025641,4.137829674161839,0.026524549193345123
The Joy of Sect,na na,5F23,1998-02-08,9,13,191,42,2,0.015328467153284672,4.948759890378168,0.07585690342915441
Das Bus,internet,5F11,1998-02-15,9,14,192,11,1,0.0048500881834215165,2.3647623379459373,0.011469305871871829
The Last Temptation of Krust,canyonero,5F10,1998-02-22,9,15,193,17,1,0.0066823899371069185,5.641907070938114,0.03770142303692922
Dumbbell Indemnity,renee,5F12,1998-03-01,9,16,194,8,1,0.0031189083820662767,6.335054251498059,0.0197584538058419
Lisa the Simpson,ha ha,4F24,1998-03-08,9,17,195,15,2,0.006082725060827251,1.7199337346567993,0.01046188403075912
This Little Wiggy,ralph,5F13,1998-03-22,9,18,196,35,1,0.015432098765432098,2.0723743744567433,0.031981086025567027
Simpson Tide,earring,3G04,1998-03-29,9,19,197,9,1,0.003968253968253968,4.725616339063959,0.01875244578993634
The Trouble with Trillions,trillion,5F14,1998-04-05,9,20,198,10,1,0.003933910306845004,5.641907070938114,0.022194756376625154
Girly Edition,mojo,5F15,1998-04-19,9,21,199,8,1,0.0032193158953722333,5.236441962829949,0.016857760846132632
Trash of the Titans,patterson,5F09,1998-04-26,9,22,200,10,1,0.003892565200467108,4.948759890378168,0.01926337053475348
King of the Hill,power sauce,5F16,1998-05-03,9,23,201,15,2,0.007177033492822967,6.335054251498059,0.0454668965418521
Lost Our Lisa,do do do,5F17,1998-05-10,9,24,202,21,3,0.009877704609595485,3.9371589786996886,0.038890093392612166
Natural Born Kissers,cha,5F18,1998-05-17,9,25,203,6,1,0.0027124773960217,4.032469158504013,0.010937981442596782
Lard of the Dance,grease,5F20,1998-08-23,10,1,204,24,1,0.009371339320577899,3.3906152723316185,0.03177460622255324
The Wizard of Evergreen Terrace,edison,5F21,1998-09-20,10,2,205,24,1,0.009630818619582664,4.948759890378168,0.047660608896097925
Bart the Mother,lizards,5F22,1998-09-27,10,3,206,9,1,0.0036930652441526466,4.948759890378168,0.018276093152812277
Treehouse of Horror IX,this little piggy went,AABF01,1998-10-25,10,4,207,4,4,0.0022172949002217295,6.335054251498059,0.014046683484474633
When You Dish Upon a Star,alec,5F19,1998-11-08,10,5,208,11,1,0.003966822935448972,4.948759890378168,0.019630854235182058
D'oh-in' in the Wind,hippie,AABF02,1998-11-15,10,6,209,13,1,0.005548442168160478,3.2905318137746358,0.018257325471220772
"Lisa Gets an ""A""",pinchy,AABF03,1998-11-22,10,7,210,12,1,0.004545454545454545,6.335054251498059,0.028795701143172994
"Homer Simpson in: ""Kidney Trouble""",kidney,AABF04,1998-12-06,10,8,211,10,1,0.004125412541254125,3.6270040503958487,0.014962887996682543
Mayored to the Mob,mayor,AABF05,1998-12-20,10,9,212,23,1,0.008935508935508936,2.3838105329166317,0.021300560317436882
Viva Ned Flanders,okay okay okay,AABF06,1999-01-10,10,10,213,6,3,0.0024154589371980675,4.389144102442746,0.010601797348895521
Wild Barts Can't Be Broken,curfew,AABF07,1999-01-17,10,11,214,10,1,0.004206983592763988,6.335054251498059,0.026651469295322083
"Sunday, Cruddy Sunday",super bowl,AABF08,1999-01-31,10,12,215,13,2,0.0050920485703094395,3.339321977944068,0.01700398970359298
Homer to the Max,max power,AABF09,1999-02-07,10,13,216,12,2,0.004552352048558422,6.335054251498059,0.028839397199535932
I'm with Cupid,manjula,AABF11,1999-02-14,10,14,217,9,1,0.0035828025477707007,3.9371589786996886,0.014106063219863534
"Marge Simpson in: ""Screaming Yellow Honkers""",nbc,AABF10,1999-02-21,10,15,218,5,1,0.0022431583669807087,4.543294782270004,0.010191329704508756
Make Room for Lisa,hippie lady,AABF12,1999-02-28,10,16,219,4,2,0.0014903129657228018,6.335054251498059,0.009441213489564917
Maximum Homerdrive,trucker,AABF13,1999-03-28,10,17,220,6,1,0.0024330900243309003,5.641907070938114,0.013727267812501494
Simpsons Bible Stories,goliath,AABF14,1999-04-04,10,18,221,14,1,0.007261410788381743,4.543294782270004,0.03299072974677389
Mom and Pop Art,art,AABF15,1999-04-11,10,19,222,20,1,0.008206811653672548,1.9530276168241774,0.016028129805696983
"The Old Man and the ""C"" Student",springs,AABF16,1999-04-25,10,20,223,10,1,0.004374453193350831,4.725616339063959,0.0206719874849692
Monty Can't Buy Me Love,arthur fortune,AABF17,1999-05-02,10,21,224,8,2,0.0032520325203252032,6.335054251498059,0.020601802443896127
They Saved Lisa's Brain,gazebo,AABF18,1999-05-09,10,22,225,6,1,0.0021929824561403508,5.641907070938114,0.012372603225741477
Thirty Minutes over Tokyo,plum met,AABF20,1999-05-16,10,23,226,8,2,0.0034662045060658577,6.335054251498059,0.02195859359271424
Beyond Blunderdome,mel,AABF23,1999-09-26,11,1,227,30,1,0.010960906101571063,2.5508646175797978,0.027959787551112142
Brother's Little Helper,focusyn,AABF22,1999-10-03,11,2,228,5,1,0.0018477457501847746,6.335054251498059,0.011705569570395527
Guess Who's Coming to Criticize Dinner?,critic,AABF21,1999-10-24,11,3,229,12,1,0.004819277108433735,4.032469158504013,0.01943358630604344
Treehouse of Horror X,xena,BABF01,1999-10-31,11,4,230,7,1,0.003355704697986577,5.641907070938114,0.018932574063550717
E-I-E-I-(Annoyed Grunt),glove slap,AABF19,1999-11-07,11,5,231,16,2,0.00626713670191931,6.335054251498059,0.03970265100821345
"Hello Gutter, Hello Fadder",perfect game,BABF02,1999-11-14,11,6,232,6,2,0.0027688047992616522,6.335054251498059,0.017540528615130762
Eight Misbehavin',babies,BABF03,1999-11-21,11,7,233,18,1,0.007371007371007371,2.017566137961748,0.014871494874410921
"Take My Wife, Sleaze",oink,BABF05,1999-11-28,11,8,234,9,1,0.004,4.948759890378168,0.019795039561512674
Grift of the Magi,funzo,BABF07,1999-12-19,11,9,235,14,1,0.005439005439005439,5.641907070938114,0.030686363245195646
Little Big Mom,leprosy,BABF04,2000-01-09,11,10,236,7,1,0.0031919744642042863,4.948759890378168,0.01579631519956552
Faith Off,tes,BABF06,2000-01-16,11,11,237,14,1,0.005780346820809248,6.335054251498059,0.03661881070230092
The Mansion Family,naught naught,BABF08,2000-01-23,11,12,238,7,2,0.003098716246126605,6.335054251498059,0.019630535529210454
Saddlesore Galactica,duncan,BABF09,2000-02-06,11,13,239,13,1,0.005543710021321962,4.725616339063959,0.02619744665579167
"Alone Again, Natura-diddily",ned,BABF11,2000-02-13,11,14,240,19,1,0.007361487795428129,1.7199337346567993,0.01266127119662115
Missionary: Impossible,oh god oh god,BABF10,2000-02-20,11,15,241,9,4,0.003966505068312032,4.389144102442746,0.017409562327891016
Pygmoelian,dr tad,BABF12,2000-02-27,11,16,242,8,2,0.0033126293995859213,6.335054251498059,0.020985686961484253
Bart to the Future,smell ya later,BABF13,2000-03-19,11,17,243,6,3,0.002191380569758948,4.725616339063959,0.010355623825560172
Days of Wine and D'oh'ses,barney,BABF14,2000-04-09,11,18,244,18,1,0.007636826474331778,1.978345424808467,0.015108280715550449
Kill the Alligator and Run,spring break,BABF16,2000-04-30,11,19,245,10,2,0.0042863266180882984,4.948759890378168,0.021212001244655672
Last Tap Dance in Springfield,tap a,BABF15,2000-05-07,11,20,246,24,2,0.009954375777685608,6.335054251498059,0.06306151059143651
"It's a Mad, Mad, Mad, Mad Marge",becky,BABF18,2000-05-14,11,21,247,19,1,0.008250108554059922,4.725616339063959,0.0389868477821169
Behind the Laughter,the simpsons,BABF19,2000-05-21,11,22,248,17,2,0.007056870070568701,1.869146132843475,0.013190321402382348
Treehouse of Horror XI,dolphins,BABF21,2000-11-01,12,1,249,14,1,0.007986309184255563,4.543294782270004,0.03628415684642331
A Tale of Two Springfields,the who,BABF20,2000-11-05,12,2,250,16,2,0.006834686031610423,4.389144102442746,0.029998421887690703
Insane Clown Poppy,a weema way a,BABF17,2000-11-12,12,3,251,4,4,0.001776988005330964,6.335054251498059,0.011257315418032978
Lisa the Tree Hugger,put it in your cap,CABF01,2000-11-19,12,4,252,4,5,0.00202122283981809,6.335054251498059,0.012804556344614573
Homer vs. Dignity,sim,CABF04,2000-11-26,12,5,253,8,1,0.0033112582781456954,4.725616339063959,0.01564773622206609
The Computer Wore Menace Shoes,mr x,CABF02,2000-12-03,12,6,254,20,2,0.008576329331046312,5.641907070938114,0.04838685309552413
The Great Money Caper,carjacking,CABF03,2000-12-10,12,7,255,5,1,0.002055921052631579,6.335054251498059,0.013024371405218048
Skinner's Sense of Snow,caucus,CABF06,2000-12-17,12,8,256,5,1,0.002321262766945218,6.335054251498059,0.014705325560580452
HOMR,crayon,BABF22,2001-01-07,12,9,257,9,1,0.004105839416058394,4.948759890378168,0.020318813418523502
Pokey Mom,spread spread,CABF05,2001-01-14,12,10,258,5,2,0.002011263073209976,6.335054251498059,0.012741460682819911
Worst Episode Ever,comic book,CABF08,2001-02-04,12,11,259,7,2,0.00315884476534296,2.901067047012913,0.009164020455365698
Tennis the Menace,tennis,CABF07,2001-02-11,12,12,260,18,1,0.007695596408721676,3.501840907441843,0.026948754311224104
Day of the Jackanapes,mukluk,CABF10,2001-02-18,12,13,261,4,1,0.0017605633802816902,6.335054251498059,0.011153264527285316
New Kids on the Blecch,nioj,CABF12,2001-02-25,12,14,262,13,1,0.00619933237958989,6.335054251498059,0.03927310694777051
"Hungry, Hungry Homer",albuquerque,CABF09,2001-03-04,12,15,263,12,1,0.0054005400540054005,4.948759890378168,0.026725976005642672
"Bye, Bye, Nerdie",bully,CABF11,2001-03-11,12,16,264,7,1,0.0034791252485089465,2.8086937268818977,0.0097717972605235
Simpson Safari,chimps,CABF13,2001-04-01,12,17,265,7,1,0.0038356164383561643,4.725616339063959,0.0181256517114782
Trilogy of Error,thumb,CABF14,2001-04-29,12,18,266,18,1,0.009589770911028236,3.339321977944068,0.0320233327666453
I'm Goin' to Praiseland,maude,CABF15,2001-05-06,12,19,267,17,1,0.007139857202855943,2.7797061900086453,0.019846705262556476
Children of a Lesser Clod,a boo peek a boo,CABF16,2001-05-13,12,20,268,7,5,0.002976190476190476,6.335054251498059,0.01885432812945851
Simpsons Tall Tales,bunyan,CABF17,2001-05-20,12,21,269,5,1,0.002935995302407516,5.641907070938114,0.01656461265689405
Treehouse of Horror XII,pierce,CABF19,2001-11-06,13,1,270,9,1,0.004945054945054945,4.725616339063959,0.023368432445920673
The Parent Rap,judge,CABF22,2001-11-11,13,2,271,15,1,0.006599208095028597,1.8464178817659191,0.012184895832155207
Homer the Moe,turkey turkey,CABF20,2001-11-18,13,3,272,6,2,0.0024549918166939444,6.335054251498059,0.015552506345739917
A Hunka Hunka Burns in Love,gloria,CABF18,2001-12-02,13,4,273,8,1,0.003485838779956427,4.725616339063959,0.016472736693904866
The Blunder Years,bom,CABF21,2001-12-09,13,5,274,34,1,0.014184397163120567,4.948759890378168,0.07019517575004494
She of Little Faith,buddhist,DABF02,2001-12-16,13,6,275,7,1,0.003146067415730337,4.255612709818223,0.013388444480326995
Brawl in the Family,gabriel,DABF01,2002-01-06,13,7,276,6,1,0.002938295788442703,5.641907070938114,0.016577591785322567
Sweets and Sour Marge,sugar,DABF03,2002-01-20,13,8,277,28,1,0.013120899718837863,2.0583881324820035,0.027007904268742312
Jaws Wired Shut,jaw,DABF05,2002-01-27,13,9,278,9,1,0.004598875830352581,3.9371589786996886,0.018106505267397648
Half-Decent Proposal,artie,DABF04,2002-02-10,13,10,279,22,1,0.01120162932790224,4.389144102442746,0.049165565302311816
The Bart Wants What It Wants,greta,DABF06,2002-02-17,13,11,280,11,1,0.005050505050505051,6.335054251498059,0.031995223492414446
The Lastest Gun in the West,buck,DABF07,2002-02-24,13,12,281,23,1,0.01118133203694701,3.3906152723316185,0.037911595169483336
The Old Man and the Key,hoochie,DABF09,2002-03-10,13,13,282,14,1,0.006514657980456026,6.335054251498059,0.04127071173614371
Tales from the Public Domain,joan,DABF08,2002-03-17,13,14,283,14,1,0.006535947712418301,4.255612709818223,0.027814462155674662
Blame It on Lisa,brazil,DABF10,2002-03-31,13,15,284,14,1,0.008900190718372537,4.032469158504013,0.03588974457664094
Weekend at Burnsie's,doo doo doo doo,DABF11,2002-04-07,13,16,285,10,4,0.004405286343612335,4.948759890378168,0.021800704362899423
Gump Roast,doo da,DABF12,2002-04-21,13,17,286,5,2,0.004659832246039142,5.641907070938114,0.02629034049831367
I Am Furious (Yellow),angry dad,DABF13,2002-04-28,13,18,287,14,2,0.006286484059272564,5.641907070938114,0.03546775886534961
The Sweetest Apu,manjula,DABF14,2002-05-05,13,19,288,10,1,0.0045105999097880016,3.9371589786996886,0.017758948934143835
Little Girl in the Big Ten,flex flex,DABF15,2002-05-12,13,20,289,6,2,0.002823529411764706,6.335054251498059,0.017887212004229814
The Frying Game,bellamy,DABF16,2002-05-19,13,21,290,6,1,0.0027272727272727275,5.641907070938114,0.015387019284376675
Poppa's Got a Brand New Badge,jingle bell,DABF17,2002-05-22,13,22,291,4,2,0.0018223234624145787,6.335054251498059,0.011544517998174141
Treehouse of Horror XIII,beer beer beer,DABF19,2002-11-03,14,1,292,8,3,0.004266666666666667,5.236441962829949,0.022342152374741117
How I Spent My Strummer Vacation,baby baby,DABF22,2002-11-10,14,2,293,7,2,0.0027290448343079924,5.641907070938114,0.015397017347589395
Bart vs. Lisa vs. the Third Grade,punch buggy,DABF20,2002-11-17,14,3,294,7,2,0.0032863849765258214,6.335054251498059,0.020819427117599255
Large Marge,yuck yuck,DABF18,2002-11-24,14,4,295,13,2,0.005235602094240838,6.335054251498059,0.03316782330627256
Helter Shelter,doot doot,DABF21,2002-12-01,14,5,296,9,2,0.004176334106728539,6.335054251498059,0.026457303138506978
The Great Louse Detective,accustomed to,EABF01,2002-12-15,14,6,297,7,2,0.003458498023715415,5.641907070938114,0.019512524454825493
Special Edna,teacher of the year,EABF02,2003-01-05,14,7,298,7,4,0.003153153153153153,6.335054251498059,0.019975396288507394
The Dad Who Knew Too Little,diary,EABF03,2003-01-12,14,8,299,10,1,0.004123711340206186,4.137829674161839,0.017063215151182844
The Strong Arms of the Ma,sword,EABF04,2003-02-02,14,9,300,9,1,0.004540867810292634,3.9371589786996886,0.017878118470382037
Pray Anything,vengeful god loving god,EABF06,2003-02-09,14,10,301,6,4,0.002694207453973956,6.335054251498059,0.017067950385715472
Barting Over,la la la,EABF05,2003-02-16,14,11,302,17,3,0.007515473032714412,3.076957713476577,0.023124792718435812
I'm Spelling As Fast As I Can,ribwich,EABF07,2003-02-16,14,12,303,14,1,0.00562474889513861,5.641907070938114,0.03173431056373387
A Star Is Born-Again,sara,EABF08,2003-03-02,14,13,304,16,1,0.006374501992031873,5.236441962829949,0.0333797097232188
Mr. Spritz Goes to Washington,yap yap,EABF09,2003-03-09,14,14,305,13,2,0.0051444400474871385,5.641907070938114,0.029024452679934892
C.E.D'oh,a patsy,EABF10,2003-03-16,14,15,306,5,2,0.002055076037813399,6.335054251498059,0.01301901819050156
'Scuse Me While I Miss the Sky,hood ornament,EABF11,2003-03-30,14,16,307,7,2,0.0034146341463414634,6.335054251498059,0.021631892566090934
Three Gays of the Condo,gay,EABF12,2003-04-13,14,17,308,12,1,0.004189944134078212,1.7707060600302227,0.007419159469400374
"Dude, Where's My Ranch?",clara,EABF13,2003-04-27,14,18,309,7,1,0.002967359050445104,6.335054251498059,0.0187983805682435
Old Yeller-Belly,suds,EABF14,2003-05-04,14,19,310,9,1,0.004416094210009814,4.389144102442746,0.01938287385769613
"Brake My Wife, Please",chaka,EABF15,2003-05-11,14,20,311,6,1,0.002372479240806643,6.335054251498059,0.015029784701063012
The Bart of War,cavalry,EABF16,2003-05-18,14,21,312,10,1,0.00458295142071494,5.641907070938114,0.025856586026297496
Moe Baby Blues,la la la,EABF17,2003-05-18,14,22,313,8,3,0.0034707158351409977,3.076957713476577,0.010679245860222394
Treehouse of Horror XIV,nobel,EABF21,2003-11-02,15,1,314,11,1,0.005118659841786877,4.255612709818223,0.02178303387994437
My Mother the Carjacker,t shirt,EABF18,2003-11-09,15,2,315,7,2,0.002982530890498509,2.751535313041949,0.008206539067445097
The President Wore Pearls,student body president,EABF20,2003-11-16,15,3,316,5,3,0.0019319938176197836,6.335054251498059,0.012239285648180177
The Regina Monologues,keep turning,EABF22,2003-11-23,15,4,317,8,2,0.0033112582781456954,6.335054251498059,0.020977000832775032
The Fat and the Furriest,bear,EABF19,2003-11-30,15,5,318,27,1,0.015025041736227046,1.94060509682562,0.029157672573339868
Today I Am a Clown,h h h,FABF01,2003-12-07,15,6,319,12,3,0.005398110661268556,6.335054251498059,0.034197323894726364
'Tis the Fifteenth Season,christmas,FABF02,2003-12-14,15,7,320,23,1,0.009441707717569787,1.5988558031035636,0.015095929175444157
"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",whoop whoop,FABF03,2004-01-04,15,8,321,13,2,0.005652173913043478,5.641907070938114,0.03188903996617195
"I, (Annoyed Grunt)-bot",bike,FABF04,2004-01-11,15,9,322,16,1,0.007964161274265804,2.4849066497880004,0.01979019731040717
Diatribe of a Mad Housewife,temperance,FABF05,2004-01-25,15,10,323,11,1,0.004261913986826811,5.641907070938114,0.024045322658008232
Margical History Tour,butt butt,FABF06,2004-02-08,15,11,324,9,2,0.0038876889848812094,6.335054251498059,0.02462872063217388
Milhouse Doesn't Live Here Anymore,scots,FABF07,2004-02-15,15,12,325,7,1,0.0028559771521827824,5.641907070938114,0.01611315768933774
Smart & Smarter,z z,FABF09,2004-02-22,15,13,326,17,2,0.007899628252788104,6.335054251498059,0.05004457354807946
The Ziff Who Came to Dinner,artie,FABF08,2004-03-14,15,14,327,21,1,0.008695652173913044,4.389144102442746,0.03816647045602388
Co-Dependents' Day,li li,FABF10,2004-03-21,15,15,328,32,2,0.012237093690248566,6.335054251498059,0.07752265240838925
The Wandering Juvie,gina,FABF11,2004-03-28,15,16,329,5,1,0.0023234200743494425,6.335054251498059,0.014718992220023373
My Big Fat Geek Wedding,edna,FABF12,2004-04-18,15,17,330,25,1,0.009792401096748922,2.5064128550089637,0.024543799990295375
Catch 'Em If You Can,dayton,FABF14,2004-04-25,15,18,331,10,1,0.004526935264825713,6.335054251498059,0.028678380495690624
Simple Simpson,pie man,FABF15,2004-05-02,15,19,332,27,2,0.011592958351223702,5.641907070938114,0.06540639369486007
The Way We Weren't,bok,FABF13,2004-05-09,15,20,333,8,1,0.003669724770642202,6.335054251498059,0.023247905510084623
Bart-Mangled Banner,bart pass the,FABF17,2004-05-16,15,21,334,4,3,0.0017101325352714834,5.641907070938114,0.009648408842989505
Fraudcast News,geezer rock,FABF18,2004-05-23,15,22,335,8,2,0.00354295837023915,6.335054251498059,0.02244483348626416
Treehouse of Horror XV,murderer,FABF23,2004-11-07,16,1,336,7,1,0.003243744207599629,3.6959969218828004,0.011988868606663393
All's Fair in Oven War,ovenfresh,FABF20,2004-11-14,16,2,337,15,1,0.00620347394540943,6.335054251498059,0.03929934399192345
Sleeping with the Enemy,duck duck duck,FABF19,2004-11-21,16,3,338,51,3,0.023765144454799627,6.335054251498059,0.1505534794158439
She Used to Be My Girl,chloe,FABF22,2004-12-05,16,4,339,26,1,0.011279826464208243,5.236441962829949,0.059066156630619815
Fat Man and Little Boy,t shirts,FABF21,2004-12-12,16,5,340,9,2,0.0036809815950920245,3.8501476017100584,0.014172322460282424
Midnight Rx,la la la la,FABF16,2005-01-16,16,6,341,22,4,0.009286618826509076,3.244011798139743,0.0301259010380221
Mommie Beerest,moes,GABF01,2005-01-30,16,7,342,15,1,0.005804953560371517,1.6906633523566863,0.009814222246652592
Homer and Ned's Hail Mary Pass,super bowl,GABF02,2005-02-06,16,8,343,10,2,0.004332755632582322,3.339321977944068,0.014468466108943102
Pranksta Rap,alcatraaaz,GABF03,2005-02-13,16,9,344,5,1,0.0019409937888198758,6.335054251498059,0.01229630095399468
There's Something About Marrying,veronica,GABF04,2005-02-20,16,10,345,8,1,0.0031658092599920855,5.641907070938114,0.017861201649190705
On a Clear Day I Can't See My Sister,restraining,GABF05,2005-03-06,16,11,346,13,1,0.006066262249183388,5.236441962829949,0.031765630199155084
Goo Goo Gai Pan,ling,GABF06,2005-03-13,16,12,347,10,1,0.004304778303917348,4.255612709818223,0.0183194692631004
Mobile Homer,ive been everywhere,GABF07,2005-03-20,16,13,348,9,3,0.003949100482667837,6.335054251498059,0.025017765802317918
The Seven-Beer Snitch,kill the rat,GABF08,2005-04-03,16,14,349,11,3,0.004807692307692308,6.335054251498059,0.03045699159374067
Future-Drama,jenda,GABF12,2005-04-17,16,15,350,10,1,0.004340277777777778,5.236441962829949,0.022727612685893878
Don't Fear the Roofer,ray,GABF10,2005-05-01,16,16,351,27,1,0.010592389172224402,2.528391761727739,0.026781709520066286
The Heartbroke Kid,vending,GABF11,2005-05-01,16,17,352,4,1,0.001774622892635315,4.389144102442746,0.007789075603270179
A Star Is Torn,yep no yep no,GABF13,2005-05-08,16,18,353,5,4,0.0022872827081427266,6.335054251498059,0.014490060044597575
Thank God It's Doomsday,rapture,GABF14,2005-05-08,16,19,354,20,1,0.008285004142502071,4.948759890378168,0.04100049619203122
Home Away from Homer,chop shop,GABF15,2005-05-15,16,20,355,3,2,0.0014058106841611997,6.335054251498059,0.008905886951496803
"The Father, the Son, and the Holy Guest Star",catholic,GABF09,2005-05-15,16,21,356,14,1,0.005133846718005134,3.9371589786996886,0.020212770701061842
The Bonfire of the Manatees,manatee,GABF18,2005-09-11,17,1,357,8,1,0.0031446540880503146,5.641907070938114,0.017741846135025517
The Girl Who Slept Too Little,stamp museum,GABF16,2005-09-18,17,2,358,6,2,0.0028530670470756064,6.335054251498059,0.018074334526385332
Milhouse of Sand and Fog,pox,GABF19,2005-09-25,17,3,359,13,1,0.004892736168611215,4.543294782270004,0.022229142705875064
Treehouse of Horror XVI,robot,GABF17,2005-11-06,17,4,360,10,1,0.004918839153959666,2.4432339533874323,0.012017874832205767
Marge's Son Poisoning,do do do,GABF20,2005-11-13,17,5,361,11,3,0.004977375565610859,3.9371589786996886,0.019596718898505235
See Homer Run,re call,GABF21,2005-11-20,17,6,362,12,2,0.005123825789923143,6.335054251498059,0.032459714354388006
The Last of the Red Hat Mamas,italian,GABF22,2005-11-27,17,7,363,11,1,0.005041246562786435,2.901067047012913,0.01462499427916684
The Italian Bob,vendetta,HABF02,2005-12-11,17,8,364,19,1,0.008527827648114902,6.335054251498059,0.054024250798233
Simpsons Christmas Stories,christmas,HABF01,2005-12-18,17,9,365,24,1,0.012102874432677761,1.5988558031035636,0.019350751020920588
Homer's Paternity Coot,fairbanks,HABF03,2006-01-08,17,10,366,7,1,0.00303951367781155,6.335054251498059,0.01925548404710656
We're on the Road to D'ohwhere,bom,HABF04,2006-01-29,17,11,367,8,1,0.0035366931918656055,4.948759890378168,0.017502245412478048
My Fair Laddy,bombardment,HABF05,2006-02-26,17,12,368,19,1,0.009165460684997588,5.236441962829949,0.0479944029395895
The Seemingly Never-Ending Story,one two three four,HABF06,2006-03-12,17,13,369,9,4,0.00375,3.6959969218828004,0.0138599884570605
Bart Has Two Mommies,toot,HABF07,2006-03-19,17,14,370,16,1,0.00718132854578097,4.389144102442746,0.03151988583441828
"Homer Simpson, This Is Your Wife",do it ill do it,HABF08,2006-03-26,17,15,371,6,5,0.0023631350925561244,6.335054251498059,0.014970589014961936
Million-Dollar Abie,springfield blows,HABF09,2006-04-02,17,16,372,5,2,0.002449779519843214,6.335054251498059,0.015519486162415627
"Kiss Kiss, Bang Bangalore",a bom shabai,HABF10,2006-04-09,17,17,373,16,3,0.007608178792201617,6.335054251498059,0.04819822540369422
The Wettest Stories Ever Told,merrily,HABF11,2006-04-23,17,18,374,6,1,0.002548853016142736,5.641907070938114,0.01438039185455764
