tv_season,rank,title,network,rating
1950–1951,1,Texaco Star Theater,NBC,61.6
1950–1951,2,Fireside Theatre,NBC,52.6
1950–1951,3,Philco TV Playhouse,NBC,45.3
1950–1951,4,Your Show of Shows,NBC,42.6
1950–1951,5,The Colgate Comedy Hour,NBC,42.0
1950–1951,6,Gillette Cavalcade of Sports,NBC,41.3
1950–1951,7,The Lone Ranger,ABC,41.2
1950–1951,8,Arthur Godfrey's Talent Scouts,CBS,40.6
1950–1951,9,Hopalong Cassidy,NBC,39.9
1950–1951,10,Mama,CBS,39.7
1950–1951,11,Robert Montgomery Presents,NBC,38.8
1950–1951,12,"Martin Kane, Private Eye",NBC,37.8
1950–1951,13,Man Against Crime,CBS,37.4
1950–1951,14,Kraft Television Theatre,NBC,37.0
1950–1951,15,The Toast of the Town,CBS,36.5
1950–1951,16,The Aldrich Family,NBC,36.1
1950–1951,17,You Bet Your Life,NBC,36.0
1950–1951,18,Arthur Godfrey and His Friends,CBS,35.9
1950–1951,19,Armstrong Circle Theatre,NBC,35.6
1950–1951,19,Lights Out,NBC,35.6
1950–1951,19,Big Town,CBS,35.6
1950–1951,22,The Alan Young Show,CBS,34.4
1950–1951,23,Stop the Music,ABC,34.0
1950–1951,24,Studio One,CBS,33.8
1950–1951,25,The Big Story,NBC,33.7
1950–1951,26,Pabst Blue Ribbon Bouts,CBS,33.4
1950–1951,26,The Original Amateur Hour,NBC,33.4
1950–1951,28,The Ken Murray Show,CBS,32.1
1950–1951,29,Your Hit Parade,NBC,32.0
1950–1951,30,Lux Video Theatre,CBS,31.5
1950–1951,30,The Speidel Show,NBC,31.5
1951–1952,1,Arthur Godfrey's Talent Scouts,CBS,53.8
1951–1952,2,Texaco Star Theater,NBC,52.0
1951–1952,3,I Love Lucy,CBS,50.9
1951–1952,4,The Red Skelton Show,NBC,50.2
1951–1952,5,The Colgate Comedy Hour,NBC,45.3
1951–1952,6,Arthur Godfrey and His Friends,CBS,43.3
1951–1952,7,Fireside Theatre,NBC,43.1
1951–1952,8,Your Show of Shows,NBC,43.0
1951–1952,9,The Jack Benny Show,CBS,42.8
1951–1952,10,You Bet Your Life,NBC,42.1
1951–1952,11,Mama,CBS,41.3
1951–1952,12,Philco TV Playhouse,NBC,40.4
1951–1952,13,Amos 'n' Andy,CBS,38.9
1951–1952,14,Gangbusters,NBC,38.7
1951–1952,15,Big Town,CBS,38.5
1951–1952,16,Goodyear TV Playhouse,NBC,37.8
1951–1952,17,Pabst Blue Ribbon Bouts,CBS,37.5
1951–1952,18,The Lone Ranger,ABC,36.8
1951–1952,19,Gillette Cavalcade of Sports,NBC,36.5
1951–1952,20,All Star Revue,NBC,36.3
1951–1952,20,Dragnet,NBC,36.3
1951–1952,22,The Alan Young Show,CBS,35.8
1951–1952,23,Kraft Television Theatre,NBC,34.8
1951–1952,24,Armstrong Circle Theatre,NBC,34.7
1951–1952,25,Strike It Rich,CBS,34.5
1951–1952,26,Robert Montgomery Presents,NBC,34.4
1951–1952,27,The Roy Rogers Show,NBC,32.7
1951–1952,28,Hopalong Cassidy,NBC,32.2
1951–1952,29,Man Against Crime,CBS,32.0
1951–1952,29,Racket Squad,CBS,32.0
1952–1953,1,I Love Lucy,CBS,67.3
1952–1953,2,Arthur Godfrey's Talent Scouts,CBS,54.7
1952–1953,3,Arthur Godfrey and His Friends,CBS,47.1
1952–1953,4,Dragnet,NBC,46.8
1952–1953,5,Texaco Star Theater,NBC,46.7
1952–1953,6,The Buick Circus Hour,NBC,46.0
1952–1953,7,The Colgate Comedy Hour,NBC,44.3
1952–1953,8,Gangbusters,NBC,42.4
1952–1953,9,You Bet Your Life,NBC,41.6
1952–1953,10,Fireside Theatre,NBC,40.6
1952–1953,11,The Red Buttons Show,CBS,40.2
1952–1953,12,The Jack Benny Show,CBS,39.0
1952–1953,13,Life with Luigi,CBS,38.5
1952–1953,14,Pabst Blue Ribbon Bouts,CBS,37.9
1952–1953,15,Goodyear TV Playhouse,NBC,37.8
1952–1953,16,The Life of Riley,NBC,37.4
1952–1953,17,Philco TV Playhouse,NBC,37.3
1952–1953,18,Mama,CBS,37.0
1952–1953,19,Your Show of Shows,NBC,36.0
1952–1953,20,What's My Line?,CBS,35.3
1952–1953,20,Strike It Rich,CBS,35.3
1952–1953,22,Our Miss Brooks,CBS,35.0
1952–1953,22,The Big Story,NBC,35.0
1952–1953,24,Gillette Cavalcade of Sports,NBC,34.7
1952–1953,25,Amos 'n' Andy,CBS,34.4
1952–1953,26,All Star Revue,NBC,34.3
1952–1953,27,Treasury Men in Action,NBC,34.2
1952–1953,28,The Red Skelton Show,NBC,33.7
1952–1953,28,The Lone Ranger,ABC,33.7
1952–1953,30,Ford Theatre,NBC,33.6
1953–1954,1,I Love Lucy,CBS,58.8
1953–1954,2,Dragnet,NBC,53.2
1953–1954,3,Arthur Godfrey's Talent Scouts,CBS,43.6
1953–1954,3,You Bet Your Life,NBC,43.6
1953–1954,5,The Milton Berle Show,NBC,40.2
1953–1954,6,Arthur Godfrey and His Friends,CBS,38.9
1953–1954,7,Ford Theatre,NBC,38.8
1953–1954,8,The Jackie Gleason Show,CBS,38.1
1953–1954,9,Fireside Theatre,NBC,36.4
1953–1954,10,The Colgate Comedy Hour,NBC,36.2
1953–1954,10,This Is Your Life,NBC,36.2
1953–1954,12,The Red Buttons Show,CBS,35.3
1953–1954,13,The Life of Riley,NBC,35.0
1953–1954,14,Our Miss Brooks,CBS,34.2
1953–1954,15,Treasury Men in Action,NBC,33.9
1953–1954,16,The Jack Benny Show,CBS,33.3
1953–1954,17,The Toast of the Town,CBS,33.0
1953–1954,18,Gillette Cavalcade of Sports,NBC,32.7
1953–1954,19,Philco TV Playhouse,NBC,32.5
1953–1954,20,The George Burns and Gracie Allen Show,CBS,32.4
1953–1954,21,Kraft Television Theatre,NBC,31.3
1953–1954,22,Goodyear TV Playhouse,NBC,31.0
1953–1954,23,Pabst Blue Ribbon Bouts,CBS,30.9
1953–1954,24,Private Secretary,CBS,30.3
1953–1954,25,I Married Joan,NBC,30.2
1953–1954,25,Mama,CBS,30.2
1953–1954,27,General Electric Theater,NBC,29.9
1953–1954,28,What's My Line?,CBS,29.6
1953–1954,29,The Big Story,NBC,29.5
1953–1954,29,"Martin Kane, Private Eye",NBC,29.5
1953–1954,29,Your Hit Parade,NBC,29.5
1954–1955,1,I Love Lucy,CBS,49.3
1954–1955,2,The Jackie Gleason Show,CBS,42.4
1954–1955,3,Dragnet,NBC,42.1
1954–1955,4,You Bet Your Life,NBC,41.0
1954–1955,5,The Toast of the Town,CBS,39.6
1954–1955,6,Disneyland,ABC,39.1
1954–1955,7,The Jack Benny Show,CBS,38.3
1954–1955,8,The George Gobel Show,NBC,35.2
1954–1955,9,Ford Theatre,NBC,34.9
1954–1955,10,December Bride,CBS,34.7
1954–1955,11,The Buick-Berle Show,NBC,34.6
1954–1955,12,This Is Your Life,NBC,34.5
1954–1955,13,I've Got a Secret,CBS,34.0
1954–1955,14,Two for the Money,CBS,33.9
1954–1955,15,Your Hit Parade,NBC,33.6
1954–1955,16,The Millionaire,CBS,33.0
1954–1955,17,General Electric Theater,CBS,32.6
1954–1955,18,Arthur Godfrey's Talent Scouts,CBS,32.5
1954–1955,19,Private Secretary,CBS,32.2
1954–1955,20,Fireside Theatre,NBC,31.1
1954–1955,21,The Life of Riley,NBC,30.9
1954–1955,22,Arthur Godfrey and His Friends,CBS,29.8
1954–1955,23,The Adventures of Rin Tin Tin,ABC,29.5
1954–1955,24,Topper,CBS,29.4
1954–1955,25,Pabst Blue Ribbon Bouts,CBS,29.1
1954–1955,26,The George Burns and Gracie Allen Show,CBS,29.0
1954–1955,27,The Colgate Comedy Hour,NBC,28.0
1954–1955,28,The Loretta Young Show,NBC,27.7
1954–1955,29,My Little Margie,NBC,27.1
1954–1955,30,The Roy Rogers Show,NBC,26.9
1955–1956,1,"The $64,000 Question",CBS,47.5
1955–1956,2,I Love Lucy,CBS,46.1
1955–1956,3,The Ed Sullivan Show,CBS,39.5
1955–1956,4,Disneyland,ABC,37.4
1955–1956,5,The Jack Benny Show,CBS,37.2
1955–1956,6,December Bride,CBS,37.0
1955–1956,7,You Bet Your Life,NBC,35.4
1955–1956,8,Dragnet,NBC,35.0
1955–1956,9,The Millionaire,CBS,33.8
1955–1956,10,I've Got a Secret,CBS,33.5
1955–1956,11,General Electric Theater,CBS,32.9
1955–1956,12,Private Secretary,CBS,32.4
1955–1956,12,Ford Theatre,NBC,32.4
1955–1956,14,The Red Skelton Show,CBS,32.3
1955–1956,15,The George Gobel Show,NBC,31.9
1955–1956,16,Arthur Godfrey's Talent Scouts,CBS,31.1
1955–1956,17,The Lineup,CBS,30.8
1955–1956,18,The Perry Como Show,NBC,30.3
1955–1956,19,The Honeymooners,CBS,30.2
1955–1956,20,The Adventures of Robin Hood,CBS,30.1
1955–1956,21,The Life of Riley,NBC,29.9
1955–1956,22,Climax!,CBS,20.6
1955–1956,23,Your Hit Parade,NBC,29.1
1955–1956,24,Fireside Theatre,NBC,29.0
1955–1956,25,Lux Video Theatre,NBC,28.9
1955–1956,26,This Is Your Life,NBC,28.8
1955–1956,27,People Are Funny,NBC,28.4
1955–1956,27,The George Burns and Gracie Allen Show,CBS,28.4
1955–1956,29,The Chevy Show,NBC,28.2
1955–1956,30,The Phil Silvers Show,CBS,28.1
1956–1957,1,I Love Lucy,CBS,43.7
1956–1957,2,The Ed Sullivan Show,CBS,38.4
1956–1957,3,General Electric Theater,CBS,36.9
1956–1957,4,"The $64,000 Question",CBS,36.4
1956–1957,5,December Bride,CBS,35.2
1956–1957,6,Alfred Hitchcock Presents,CBS,33.9
1956–1957,7,I've Got a Secret,CBS,32.7
1956–1957,7,Gunsmoke,CBS,32.7
1956–1957,9,The Perry Como Show,NBC,32.6
1956–1957,10,The Jack Benny Show,CBS,32.3
1956–1957,11,Dragnet,NBC,32.1
1956–1957,12,Arthur Godfrey's Talent Scouts,CBS,31.9
1956–1957,13,The Millionaire,CBS,31.8
1956–1957,13,Disneyland,ABC,31.8
1956–1957,15,The Red Skelton Show,CBS,31.4
1956–1957,15,The Lineup,CBS,31.4
1956–1957,17,You Bet Your Life,NBC,31.1
1956–1957,18,The Life and Legend of Wyatt Earp,ABC,31.0
1956–1957,19,The Ford Show,NBC,30.7
1956–1957,20,The Adventures of Robin Hood,CBS,30.3
1956–1957,21,People Are Funny,NBC,30.2
1956–1957,22,"The $64,000 Challenge",CBS,29.7
1956–1957,22,The Phil Silvers Show,CBS,29.7
1956–1957,24,Lassie,CBS,29.5
1956–1957,25,Private Secretary,CBS,29.0
1956–1957,26,Climax!,CBS,28.9
1956–1957,26,What's My Line?,CBS,28.9
1956–1957,28,The George Burns and Gracie Allen Show,CBS,27.8
1956–1957,29,The Jackie Gleason Show,CBS,27.6
1956–1957,30,Name That Tune,CBS,27.2
1957–1958,1,Gunsmoke,CBS,43.1
1957–1958,2,The Danny Thomas Show,CBS,35.3
1957–1958,3,Tales of Wells Fargo,NBC,35.2
1957–1958,4,Have Gun – Will Travel,CBS,33.7
1957–1958,5,I've Got a Secret,CBS,33.4
1957–1958,6,The Life and Legend of Wyatt Earp,ABC,32.6
1957–1958,7,General Electric Theater,CBS,31.5
1957–1958,8,The Restless Gun,NBC,31.4
1957–1958,9,December Bride,CBS,30.7
1957–1958,10,You Bet Your Life,NBC,30.6
1957–1958,11,The Perry Como Show,NBC,30.5
1957–1958,12,Alfred Hitchcock Presents,CBS,30.3
1957–1958,12,Cheyenne,ABC,30.3
1957–1958,14,The Ford Show,NBC,29.7
1957–1958,15,The Red Skelton Show,CBS,28.9
1957–1958,16,The Gale Storm Show,CBS,28.8
1957–1958,17,The Millionaire,CBS,28.5
1957–1958,18,The Lineup,CBS,28.4
1957–1958,19,This Is Your Life,NBC,28.1
1957–1958,19,"The $64,000 Question",CBS,28.1
1957–1958,21,Zane Grey Theater,CBS,27.9
1957–1958,22,Lassie,CBS,27.8
1957–1958,23,Wagon Train,NBC,27.7
1957–1958,23,Sugarfoot,ABC,27.7
1957–1958,23,Father Knows Best,NBC,27.7
1957–1958,26,Twenty-One,NBC,27.6
1957–1958,27,The Ed Sullivan Show,CBS,27.3
1957–1958,28,The Jack Benny Show,CBS,27.1
1957–1958,29,People Are Funny,NBC,27.0
1957–1958,30,The Loretta Young Show,NBC,26.6
1957–1958,30,Zorro,ABC,26.6
1957–1958,30,The Real McCoys,ABC,26.6
1958–1959,1,Gunsmoke,CBS,39.6
1958–1959,2,Wagon Train,NBC,36.1
1958–1959,3,Have Gun – Will Travel,CBS,34.3
1958–1959,4,The Rifleman,ABC,33.1
1958–1959,5,The Danny Thomas Show,CBS,32.8
1958–1959,6,Maverick,ABC,30.4
1958–1959,7,Tales of Wells Fargo,NBC,30.2
1958–1959,8,The Real McCoys,ABC,30.1
1958–1959,9,I've Got a Secret,CBS,29.8
1958–1959,10,The Life and Legend of Wyatt Earp,ABC,29.1
1958–1959,11,The Price Is Right,NBC,28.6
1958–1959,12,The Red Skelton Show,CBS,28.5
1958–1959,13,Zane Grey Theater,CBS,28.3
1958–1959,13,Father Knows Best,CBS,28.3
1958–1959,15,The Texan,CBS,28.2
1958–1959,16,Wanted: Dead or Alive,CBS,28.0
1958–1959,16,Peter Gunn,NBC,28.0
1958–1959,18,Cheyenne,ABC,27.9
1958–1959,19,Perry Mason,CBS,27.5
1958–1959,20,The Ford Show,NBC,27.2
1958–1959,21,Sugarfoot,ABC,27.0
1958–1959,21,The Ann Sothern Show,CBS,27.0
1958–1959,21,The Perry Como Show,NBC,27.0
1958–1959,24,Alfred Hitchcock Presents,CBS,26.8
1958–1959,25,Name That Tune,CBS,26.7
1958–1959,25,General Electric Theater,CBS,26.7
1958–1959,27,The Lawman,ABC,26.0
1958–1959,28,Rawhide,CBS,25.9
1958–1959,29,This Is Your Life,NBC,25.8
1958–1959,30,The Millionaire,CBS,25.6
1959–1960,1,Gunsmoke,CBS,40.3
1959–1960,2,Wagon Train,NBC,38.4
1959–1960,3,Have Gun – Will Travel,CBS,34.7
1959–1960,4,The Danny Thomas Show,CBS,31.1
1959–1960,5,The Red Skelton Show,CBS,30.8
1959–1960,6,Father Knows Best,CBS,29.7
1959–1960,6,77 Sunset Strip,ABC,29.7
1959–1960,8,The Price Is Right,NBC,29.2
1959–1960,9,Wanted: Dead or Alive,CBS,28.7
1959–1960,10,Perry Mason,CBS,28.3
1959–1960,11,The Real McCoys,ABC,28.2
1959–1960,12,The Ed Sullivan Show,CBS,28.0
1959–1960,13,The Rifleman,ABC,27.5
1959–1960,14,The Ford Show,NBC,27.4
1959–1960,15,The Lawman,ABC,26.2
1959–1960,16,Dennis the Menace,CBS,26.0
1959–1960,17,Cheyenne,ABC,25.9
1959–1960,18,Rawhide,CBS,25.8
1959–1960,19,Maverick,ABC,25.2
1959–1960,20,The Life and Legend of Wyatt Earp,ABC,25.0
1959–1960,21,Mr. Lucky,CBS,24.4
1959–1960,21,Zane Grey Theater,CBS,24.4
1959–1960,21,General Electric Theater,CBS,24.4
1959–1960,24,The Ann Sothern Show,CBS,24.2
1959–1960,25,Alfred Hitchcock Presents,CBS,24.1
1959–1960,26,You Bet Your Life,NBC,24.0
1959–1960,27,What's My Line?,CBS,23.9
1959–1960,28,I've Got a Secret,CBS,23.5
1959–1960,29,The Perry Como Show,NBC,23.1
1959–1960,29,Lassie,CBS,23.1
1960–1961,1,Gunsmoke,CBS,37.3
1960–1961,2,Wagon Train,NBC,34.2
1960–1961,3,Have Gun – Will Travel,CBS,30.9
1960–1961,4,The Andy Griffith Show,CBS,27.8
1960–1961,5,The Real McCoys,ABC,27.7
1960–1961,6,Rawhide,CBS,27.5
1960–1961,7,Candid Camera,CBS,27.3
1960–1961,8,The Untouchables,ABC,27.0
1960–1961,8,The Price Is Right,NBC,27.0
1960–1961,10,The Jack Benny Show,CBS,26.2
1960–1961,11,Dennis the Menace,CBS,26.1
1960–1961,12,The Danny Thomas Show,CBS,25.9
1960–1961,13,My Three Sons,ABC,25.8
1960–1961,13,77 Sunset Strip,ABC,25.8
1960–1961,15,The Ed Sullivan Show,CBS,25.0
1960–1961,16,Perry Mason,CBS,24.9
1960–1961,17,Bonanza,NBC,24.8
1960–1961,18,The Flintstones,ABC,24.3
1960–1961,19,The Red Skelton Show,CBS,24.0
1960–1961,20,General Electric Theater,CBS,23.4
1960–1961,21,Checkmate,CBS,23.2
1960–1961,22,What's My Line?,CBS,23.1
1960–1961,23,The Many Loves of Dobie Gillis,CBS,23.0
1960–1961,24,The Ford Show,NBC,22.9
1960–1961,25,The Garry Moore Show,CBS,22.7
1960–1961,26,The Lawman,ABC,22.3
1960–1961,27,The Rifleman,ABC,22.1
1960–1961,28,Cheyenne,ABC,22.0
1960–1961,29,Peter Gunn,NBC,21.9
1960–1961,30,Route 66,CBS,21.7
1961–1962,1,Wagon Train,NBC,32.1
1961–1962,2,Bonanza,NBC,30.0
1961–1962,3,Gunsmoke,CBS,28.3
1961–1962,4,Hazel,NBC,27.7
1961–1962,5,Perry Mason,CBS,27.3
1961–1962,6,The Red Skelton Show,CBS,27.1
1961–1962,7,The Andy Griffith Show,CBS,27.0
1961–1962,8,The Danny Thomas Show,CBS,26.1
1961–1962,9,Dr. Kildare,NBC,25.6
1961–1962,10,Candid Camera,CBS,25.5
1961–1962,11,My Three Sons,ABC,24.7
1961–1962,12,The Garry Moore Show,CBS,24.6
1961–1962,13,Rawhide,CBS,24.5
1961–1962,14,The Real McCoys,ABC,24.2
1961–1962,15,Lassie,CBS,24.0
1961–1962,15,Sing Along with Mitch,NBC,24.0
1961–1962,17,Dennis the Menace,CBS,23.8
1961–1962,18,Ben Casey,ABC,23.7
1961–1962,19,The Ed Sullivan Show,CBS,23.5
1961–1962,20,"Car 54, Where Are You?",NBC,23.2
1961–1962,21,The Flintstones,ABC,22.9
1961–1962,21,The Many Loves of Dobie Gillis,CBS,22.9
1961–1962,23,Walt Disney's Wonderful World of Color,NBC,22.7
1961–1962,24,The Joey Bishop Show,NBC,22.6
1961–1962,25,The Perry Como Show,NBC,22.5
1961–1962,26,The Defenders,CBS,22.4
1961–1962,27,The Price Is Right,NBC,22.3
1961–1962,27,The Rifleman,ABC,22.3
1961–1962,29,Have Gun – Will Travel,CBS,22.2
1961–1962,30,The Donna Reed Show,ABC,21.9
1961–1962,30,77 Sunset Strip,ABC,21.9
1962–1963,1,The Beverly Hillbillies,CBS,36.0
1962–1963,2,Candid Camera,CBS,31.1
1962–1963,2,The Red Skelton Show,CBS,31.1
1962–1963,4,Bonanza,NBC,29.8
1962–1963,4,The Lucy Show,CBS,29.8
1962–1963,6,The Andy Griffith Show,CBS,29.7
1962–1963,7,Ben Casey,ABC,28.7
1962–1963,7,The Danny Thomas Show,CBS,28.7
1962–1963,9,The Dick Van Dyke Show,CBS,27.1
1962–1963,10,Gunsmoke,CBS,27.0
1962–1963,11,Dr. Kildare,NBC,26.2
1962–1963,11,The Jack Benny Show,CBS,26.2
1962–1963,13,What's My Line?,CBS,25.5
1962–1963,14,The Ed Sullivan Show,CBS,25.3
1962–1963,15,Hazel,NBC,25.1
1962–1963,16,I've Got a Secret,CBS,24.9
1962–1963,17,The Jackie Gleason Show,CBS,24.1
1962–1963,18,The Defenders,CBS,23.9
1962–1963,19,The Garry Moore Show,CBS,23.3
1962–1963,19,To Tell the Truth,CBS,23.3
1962–1963,19,Lassie,CBS,23.3
1962–1963,22,Rawhide,CBS,22.8
1962–1963,23,Perry Mason,CBS,22.4
1962–1963,24,Walt Disney's Wonderful World of Color,NBC,22.3
1962–1963,25,Wagon Train,ABC,22.0
1962–1963,26,The Virginian,NBC,21.7
1962–1963,27,Route 66,CBS,21.3
1962–1963,28,My Three Sons,ABC,21.0
1962–1963,29,Have Gun – Will Travel,CBS,20.8
1962–1963,30,The Flintstones,ABC,20.5
1963–1964,1,The Beverly Hillbillies,CBS,39.1
1963–1964,2,Bonanza,NBC,36.9
1963–1964,3,The Dick Van Dyke Show,CBS,33.3
1963–1964,4,Petticoat Junction,CBS,30.3
1963–1964,5,The Andy Griffith Show,CBS,29.4
1963–1964,6,The Lucy Show,CBS,28.1
1963–1964,7,Candid Camera,CBS,27.7
1963–1964,8,The Ed Sullivan Show,CBS,27.5
1963–1964,9,The Danny Thomas Show,CBS,26.7
1963–1964,10,My Favorite Martian,CBS,26.3
1963–1964,11,The Red Skelton Show,CBS,25.7
1963–1964,12,I've Got a Secret,CBS,25.0
1963–1964,12,Lassie,CBS,25.0
1963–1964,12,The Jack Benny Show,CBS,25.0
1963–1964,15,The Jackie Gleason Show,CBS,24.6
1963–1964,16,The Donna Reed Show,ABC,24.5
1963–1964,17,The Virginian,NBC,24.0
1963–1964,18,The Patty Duke Show,ABC,23.9
1963–1964,19,Dr. Kildare,NBC,23.6
1963–1964,20,Gunsmoke,CBS,23.5
1963–1964,21,Walt Disney's Wonderful World of Color,NBC,23.0
1963–1964,22,Hazel,NBC,22.8
1963–1964,22,McHale's Navy,ABC,22.8
1963–1964,24,To Tell the Truth,CBS,22.6
1963–1964,24,What's My Line?,CBS,22.6
1963–1964,26,Perry Mason,CBS,22.1
1963–1964,27,My Three Sons,ABC,21.9
1963–1964,28,The Fugitive,ABC,21.7
1963–1964,29,The Adventures of Ozzie and Harriet,ABC,21.6
1963–1964,30,The Danny Kaye Show,CBS,21.5
1963–1964,30,Bob Hope Presents the Chrysler Theatre,NBC,21.5
1964–1965,1,Bonanza,NBC,36.3
1964–1965,2,Bewitched,ABC,31.0
1964–1965,3,"Gomer Pyle, U.S.M.C.",CBS,30.7
1964–1965,4,The Andy Griffith Show,CBS,28.3
1964–1965,5,The Fugitive,ABC,27.9
1964–1965,6,The Red Skelton Hour,CBS,27.4
1964–1965,7,The Dick Van Dyke Show,CBS,27.1
1964–1965,8,The Lucy Show,CBS,26.6
1964–1965,9,Peyton Place II,ABC,26.4
1964–1965,10,Combat!,ABC,26.1
1964–1965,11,Walt Disney's Wonderful World of Color,NBC,25.7
1964–1965,12,The Beverly Hillbillies,CBS,25.6
1964–1965,13,My Three Sons,ABC,25.5
1964–1965,14,Branded,NBC,25.3
1964–1965,15,Petticoat Junction,CBS,25.2
1964–1965,15,The Ed Sullivan Show,CBS,25.2
1964–1965,17,Lassie,CBS,25.1
1964–1965,18,The Munsters,CBS,24.7
1964–1965,18,Gilligan's Island,CBS,24.7
1964–1965,20,Peyton Place I,ABC,24.6
1964–1965,21,The Jackie Gleason Show,CBS,24.4
1964–1965,22,The Virginian,NBC,24.0
1964–1965,23,The Addams Family,ABC,23.9
1964–1965,24,My Favorite Martian,CBS,23.7
1964–1965,25,Flipper,NBC,23.4
1964–1965,26,I've Got a Secret,CBS,23.0
1964–1965,27,Gunsmoke,CBS,22.6
1964–1965,28,The Patty Duke Show,ABC,22.4
1964–1965,29,McHale's Navy,ABC,22.3
1964–1965,30,The Lawrence Welk Show,ABC,22.0
1965–1966,1,Bonanza,NBC,31.8
1965–1966,2,"Gomer Pyle, U.S.M.C.",CBS,27.8
1965–1966,3,The Lucy Show,CBS,27.7
1965–1966,4,The Red Skelton Hour,CBS,27.6
1965–1966,5,Batman (Thurs.),ABC,27.0
1965–1966,6,The Andy Griffith Show,CBS,26.9
1965–1966,7,Bewitched,ABC,25.9
1965–1966,7,The Beverly Hillbillies,CBS,25.9
1965–1966,9,Hogan's Heroes,CBS,24.9
1965–1966,10,Batman (Wed.),ABC,24.7
1965–1966,11,Green Acres,CBS,24.6
1965–1966,12,Get Smart,NBC,24.5
1965–1966,13,The Man from U.N.C.L.E.,NBC,24.0
1965–1966,14,Daktari,CBS,23.9
1965–1966,15,My Three Sons,CBS,23.8
1965–1966,16,The Dick Van Dyke Show,CBS,23.6
