tv_season,rank,title,network,rating
1981–1982,21,Real People,NBC,19.7
1981–1982,22,ABC Sunday Night Movie,ABC,19.5
1981–1982,23,House Calls,CBS,19.2
1981–1982,24,The Facts of Life,NBC,19.1
1981–1982,24,Little House on the Prairie,NBC,19.1
1981–1982,26,The Fall Guy,ABC,19.0
1981–1982,27,Hill Street Blues,NBC,18.6
1981–1982,28,That's Incredible!,ABC,18.4
1981–1982,28,T.J. Hooker,ABC,18.4
1981–1982,30,Fantasy Island,ABC,18.3
1982–1983,1,60 Minutes,CBS,25.5
1982–1983,2,Dallas,CBS,24.6
1982–1983,3,M*A*S*H,CBS,22.6
1982–1983,3,"Magnum, P.I.",CBS,22.6
1982–1983,5,Dynasty,ABC,22.4
1982–1983,6,Three's Company,ABC,21.2
1982–1983,7,Simon & Simon,CBS,21.0
1982–1983,8,Falcon Crest,CBS,20.7
1982–1983,9,The Love Boat,ABC,20.3
1982–1983,10,The A-Team,NBC,20.1
1982–1983,10,Monday Night Football,ABC,20.1
1982–1983,12,The Jeffersons,CBS,20.0
1982–1983,12,Newhart,CBS,20.0
1982–1983,14,The Fall Guy,ABC,19.4
1982–1983,15,9 to 5,ABC,19.3
1982–1983,16,One Day at a Time,CBS,19.1
1982–1983,17,Hart to Hart,ABC,18.9
1982–1983,18,Gloria,CBS,18.7
1982–1983,18,"Trapper John, M.D.",CBS,18.7
1982–1983,20,Knots Landing,CBS,18.6
1982–1983,21,Hill Street Blues,NBC,18.4
1982–1983,22,That's Incredible!,ABC,18.3
1982–1983,22,Archie Bunker's Place,CBS,18.3
1982–1983,24,ABC Monday Night Movie,ABC,18.0
1982–1983,25,Laverne & Shirley,ABC,17.8
1982–1983,26,ABC Sunday Night Movie,ABC,17.6
1982–1983,27,CBS Tuesday Night Movie,CBS,17.5
1982–1983,28,Happy Days,ABC,17.4
1982–1983,28,Little House: A New Beginning,NBC,17.4
1982–1983,30,Real People,NBC,17.2
1982–1983,30,The Dukes of Hazzard,CBS,17.2
1983–1984,1,Dallas,CBS,25.7
1983–1984,2,60 Minutes,CBS,24.2
1983–1984,3,Dynasty,ABC,24.1
1983–1984,4,The A-Team,NBC,24.0
1983–1984,5,Simon & Simon,CBS,23.8
1983–1984,6,"Magnum, P.I.",CBS,22.4
1983–1984,7,Falcon Crest,CBS,22.0
1983–1984,8,Kate & Allie,CBS,21.9
1983–1984,9,Hotel,ABC,21.1
1983–1984,10,Cagney & Lacey,CBS,20.9
1983–1984,11,Knots Landing,CBS,20.8
1983–1984,12,ABC Sunday Night Movie,ABC,20.4
1983–1984,12,ABC Monday Night Movie,ABC,20.4
1983–1984,14,TV's Bloopers & Practical Jokes,NBC,20.3
1983–1984,15,AfterMASH,CBS,20.1
1983–1984,16,The Fall Guy,ABC,19.9
1983–1984,17,The Love Boat,ABC,19.0
1983–1984,18,Riptide,NBC,18.8
1983–1984,19,The Jeffersons,CBS,18.6
1983–1984,20,Scarecrow & Mrs. King,CBS,18.3
1983–1984,21,Monday Night Football,ABC,18.1
1983–1984,21,NBC Monday Night Movie,NBC,18.1
1983–1984,23,Newhart,CBS,18.0
1983–1984,24,The Facts of Life,NBC,17.3
1983–1984,25,CBS Tuesday Night Movie,CBS,17.2
1983–1984,25,Webster,ABC,17.2
1983–1984,25,Alice,CBS,17.2
1983–1984,25,Knight Rider,NBC,17.2
1983–1984,25,Hardcastle and McCormick,ABC,17.2
1983–1984,30,"Trapper John, M.D.",CBS,17.0
1984–1985,1,Dynasty,ABC,25.0
1984–1985,2,Dallas,CBS,24.7
1984–1985,3,The Cosby Show,NBC,24.2
1984–1985,4,60 Minutes,CBS,22.2
1984–1985,5,Family Ties,NBC,22.1
1984–1985,6,The A-Team,NBC,21.9
1984–1985,7,Simon & Simon,CBS,21.8
1984–1985,8,"Murder, She Wrote",CBS,20.1
1984–1985,9,Knots Landing,CBS,20.0
1984–1985,10,Falcon Crest,CBS,19.9
1984–1985,10,Crazy Like a Fox,CBS,19.9
1984–1985,12,Hotel,ABC,19.7
1984–1985,12,Cheers,NBC,19.7
1984–1985,14,Riptide,NBC,19.2
1984–1985,15,"Magnum, P.I.",CBS,19.1
1984–1985,16,Newhart,CBS,18.4
1984–1985,17,Kate & Allie,CBS,18.3
1984–1985,18,NBC Monday Night Movie,NBC,18.2
1984–1985,19,Highway to Heaven,NBC,17.7
1984–1985,20,Night Court,NBC,17.6
1984–1985,21,ABC Sunday Night Movie,ABC,17.5
1984–1985,22,Scarecrow & Mrs. King,CBS,17.1
1984–1985,22,TV's Bloopers & Practical Jokes,NBC,17.1
1984–1985,22,The Fall Guy,ABC,17.1
1984–1985,25,Monday Night Football,ABC,17.0
1984–1985,25,Remington Steele,NBC,17.0
1984–1985,25,Webster,ABC,17.0
1984–1985,28,Cagney & Lacey,CBS,16.9
1984–1985,29,"Trapper John, M.D.",CBS,16.8
1984–1985,30,Hill Street Blues,NBC,16.6
1985–1986,1,The Cosby Show,NBC,33.7
1985–1986,2,Family Ties,NBC,30.0
1985–1986,3,"Murder, She Wrote",CBS,25.3
1985–1986,4,60 Minutes,CBS,23.9
1985–1986,5,Cheers,NBC,23.7
1985–1986,6,Dallas,CBS,21.9
1985–1986,7,Dynasty,ABC,21.8
1985–1986,7,The Golden Girls,NBC,21.8
1985–1986,9,Miami Vice,NBC,21.3
1985–1986,10,Who's the Boss?,ABC,21.1
1985–1986,11,Night Court,NBC,20.9
1985–1986,12,CBS Sunday Night Movie,CBS,20.5
1985–1986,13,Highway to Heaven,NBC,20.1
1985–1986,14,Kate & Allie,CBS,20.0
1985–1986,15,Monday Night Football,ABC,19.8
1985–1986,16,Newhart,CBS,19.6
1985–1986,17,Knots Landing,CBS,19.5
1985–1986,17,Growing Pains,ABC,19.5
1985–1986,19,You Again?,NBC,19.2
1985–1986,20,227,NBC,18.8
1985–1986,21,NBC Sunday Night Movie,NBC,18.5
1985–1986,22,Hotel,ABC,18.3
1985–1986,22,NBC Monday Night Movie,NBC,18.3
1985–1986,24,Moonlighting,ABC,18.1
1985–1986,24,Falcon Crest,CBS,18.1
1985–1986,24,Valerie,NBC,18.1
1985–1986,27,The Facts of Life,NBC,17.7
1985–1986,28,Scarecrow & Mrs. King,CBS,17.4
1985–1986,29,Simon & Simon,CBS,17.2
1985–1986,30,The A-Team,NBC,16.9
1986–1987,1,The Cosby Show,NBC,34.9
1986–1987,2,Family Ties,NBC,32.7
1986–1987,3,Cheers,NBC,27.2
1986–1987,4,"Murder, She Wrote",CBS,25.4
1986–1987,5,The Golden Girls,NBC,24.5
1986–1987,6,60 Minutes,CBS,23.3
1986–1987,7,Night Court,NBC,23.2
1986–1987,8,Growing Pains,ABC,22.7
1986–1987,9,Moonlighting,ABC,22.4
1986–1987,10,Who's the Boss?,ABC,22.0
1986–1987,11,Dallas,CBS,21.3
1986–1987,12,Newhart,CBS,19.5
1986–1987,13,Amen,NBC,19.4
1986–1987,14,227,NBC,18.9
1986–1987,15,Matlock,NBC,18.6
1986–1987,15,CBS Sunday Night Movie,CBS,18.6
1986–1987,15,NBC Monday Night Movie,NBC,18.6
1986–1987,18,Monday Night Football,ABC,18.4
1986–1987,19,Kate & Allie,CBS,18.3
1986–1987,20,NBC Sunday Night Movie,NBC,18.2
1986–1987,21,L.A. Law,NBC,17.4
1986–1987,21,My Sister Sam,CBS,17.4
1986–1987,23,Falcon Crest,CBS,17.3
1986–1987,24,Highway to Heaven,NBC,17.2
1986–1987,24,Dynasty,ABC,17.2
1986–1987,26,Knots Landing,CBS,16.8
1986–1987,26,Miami Vice,NBC,16.8
1986–1987,28,ALF,NBC,16.5
1986–1987,28,Hunter,NBC,16.5
1986–1987,30,Head of the Class,ABC,16.4
1987–1988,1,The Cosby Show,NBC,27.8
1987–1988,2,A Different World,NBC,25.0
1987–1988,3,Cheers,NBC,23.4
1987–1988,4,The Golden Girls,NBC,21.8
1987–1988,5,Growing Pains,ABC,21.3
1987–1988,6,Who's the Boss?,ABC,21.2
1987–1988,7,Night Court,NBC,20.8
1987–1988,8,60 Minutes,CBS,20.6
1987–1988,9,"Murder, She Wrote",CBS,20.2
1987–1988,10,ALF,NBC,18.8
1987–1988,10,The Wonder Years,ABC,18.8
1987–1988,12,Moonlighting,ABC,18.3
1987–1988,12,L.A. Law,NBC,18.3
1987–1988,14,Matlock,NBC,17.8
1987–1988,15,Amen,NBC,17.5
1987–1988,16,Monday Night Football,ABC,17.4
1987–1988,17,Family Ties,NBC,17.3
1987–1988,18,CBS Sunday Night Movie,CBS,17.2
1987–1988,19,In the Heat of the Night,NBC,17.0
1987–1988,20,My Two Dads,NBC,16.9
1987–1988,20,Valerie's Family,NBC,16.9
1987–1988,22,Dallas,CBS,16.8
1987–1988,23,NBC Sunday Night Movie,NBC,16.7
1987–1988,23,Head of the Class,ABC,16.7
1987–1988,25,Newhart,CBS,16.5
1987–1988,26,NBC Monday Night Movie,NBC,16.4
1987–1988,27,227,NBC,16.3
1987–1988,28,Day by Day,NBC,16.2
1987–1988,29,Hunter,NBC,16.1
1987–1988,30,Aaron's Way,NBC,16.0
1988–1989,1,The Cosby Show,NBC,25.6
1988–1989,2,Roseanne,ABC,23.8
1988–1989,3,A Different World,NBC,23.0
1988–1989,4,Cheers,NBC,22.3
1988–1989,5,60 Minutes,CBS,21.7
1988–1989,6,The Golden Girls,NBC,21.4
1988–1989,7,Who's the Boss?,ABC,20.8
1988–1989,8,"Murder, She Wrote",CBS,19.9
1988–1989,9,Empty Nest,NBC,19.2
1988–1989,10,Anything but Love,ABC,19.0
1988–1989,11,Dear John,NBC,18.5
1988–1989,12,Matlock,NBC,17.7
1988–1989,13,L.A. Law,NBC,17.6
1988–1989,13,Growing Pains,ABC,17.6
1988–1989,15,ALF,NBC,17.5
1988–1989,15,Monday Night Football,ABC,17.5
1988–1989,17,Unsolved Mysteries,NBC,17.4
1988–1989,18,In the Heat of the Night,NBC,17.3
1988–1989,19,Hunter,NBC,17.2
1988–1989,20,Head of the Class,ABC,17.1
1988–1989,21,Night Court,NBC,16.9
1988–1989,22,The Hogan Family,NBC,16.3
1988–1989,22,NBC Sunday Night Movie,NBC,16.3
1988–1989,22,The Wonder Years,ABC,16.3
1988–1989,25,Amen,NBC,16.2
1988–1989,25,NBC Monday Night Movie,NBC,16.2
1988–1989,27,Knots Landing,CBS,16.1
1988–1989,27,CBS Sunday Movie,CBS,16.1
1988–1989,29,ABC Mystery Movie,ABC,15.4
1988–1989,29,Dallas,CBS,15.4
1989–1990,1,The Cosby Show,NBC,23.1
1989–1990,1,Roseanne,ABC,23.1
1989–1990,3,Cheers,NBC,22.7
1989–1990,4,A Different World,NBC,21.1
1989–1990,5,America's Funniest Home Videos,ABC,20.9
1989–1990,6,The Golden Girls,NBC,20.1
1989–1990,7,60 Minutes,CBS,19.7
1989–1990,8,The Wonder Years,ABC,19.2
1989–1990,9,Empty Nest,NBC,18.9
1989–1990,10,Monday Night Football,ABC,18.1
1989–1990,11,Unsolved Mysteries,NBC,18.0
1989–1990,12,Who's the Boss?,ABC,17.9
1989–1990,13,"Murder, She Wrote",CBS,17.7
1989–1990,13,Chicken Soup,ABC,17.7
1989–1990,15,Grand,NBC,17.6
1989–1990,16,L.A. Law,NBC,17.4
1989–1990,17,Dear John,NBC,17.2
1989–1990,18,Coach,ABC,17.0
1989–1990,19,In the Heat of the Night,NBC,16.9
1989–1990,20,Matlock,NBC,16.6
1989–1990,21,Growing Pains,ABC,15.4
1989–1990,22,Full House,ABC,15.3
1989–1990,22,Designing Women,CBS,15.3
1989–1990,24,CBS Sunday Movie,CBS,14.9
1989–1990,24,Hunter,NBC,14.9
1989–1990,26,Head of the Class,ABC,14.8
1989–1990,27,Murphy Brown,CBS,14.7
1989–1990,28,The Simpsons,FOX,14.5
1989–1990,28,Night Court,NBC,14.5
1989–1990,28,"Doogie Howser, M.D.",ABC,14.5
1990–1991,1,Cheers,NBC,21.3
1990–1991,2,60 Minutes,CBS,20.6
1990–1991,3,Roseanne,ABC,18.1
1990–1991,4,A Different World,NBC,17.5
1990–1991,5,The Cosby Show,NBC,17.1
1990–1991,6,Murphy Brown,CBS,16.9
1990–1991,7,Empty Nest,NBC,16.7
1990–1991,7,America's Funniest Home Videos,ABC,16.7
1990–1991,9,Monday Night Football,ABC,16.6
1990–1991,10,The Golden Girls,NBC,16.5
1990–1991,10,Designing Women,CBS,16.5
1990–1991,12,"Murder, She Wrote",CBS,16.4
1990–1991,13,America's Funniest People,ABC,16.3
1990–1991,14,Full House,ABC,15.9
1990–1991,15,Family Matters,ABC,15.8
1990–1991,16,Unsolved Mysteries,NBC,15.7
1990–1991,17,Matlock,NBC,15.5
1990–1991,18,Coach,ABC,15.3
1990–1991,19,Who's the Boss?,ABC,15.0
1990–1991,19,CBS Sunday Movie,CBS,15.0
1990–1991,21,In the Heat of the Night,NBC,14.9
1990–1991,21,Major Dad,CBS,14.9
1990–1991,23,L.A. Law,NBC,14.8
1990–1991,24,"Doogie Howser, M.D.",ABC,14.7
1990–1991,25,Grand,NBC,14.6
1990–1991,26,Head of the Class,ABC,14.5
1990–1991,27,Growing Pains,ABC,14.3
1990–1991,27,Baby Talk,ABC,14.3
1990–1991,27,Davis Rules,ABC,14.3
1990–1991,30,The Wonder Years,ABC,14.2
1991–1992,1,60 Minutes,CBS,21.9
1991–1992,2,Roseanne,ABC,19.9
1991–1992,3,Murphy Brown,CBS,18.6
1991–1992,4,Cheers,NBC,17.5
1991–1992,4,Home Improvement,ABC,17.5
1991–1992,6,Designing Women,CBS,17.3
1991–1992,7,Full House,ABC,17.0
1991–1992,8,"Murder, She Wrote",CBS,16.9
1991–1992,9,Major Dad,CBS,16.8
1991–1992,10,Coach,ABC,16.7
1991–1992,10,Room for Two,ABC,16.7
1991–1992,12,Monday Night Football,ABC,16.6
1991–1992,13,Unsolved Mysteries,NBC,16.5
1991–1992,14,CBS Sunday Night Movie,CBS,15.9
1991–1992,15,Evening Shade,CBS,15.6
1991–1992,16,Northern Exposure,CBS,15.5
1991–1992,17,A Different World,NBC,15.2
1991–1992,18,The Cosby Show,NBC,15.0
1991–1992,19,Wings,NBC,14.6
1991–1992,20,America's Funniest Home Videos,ABC,14.5
1991–1992,21,20/20,ABC,14.4
1991–1992,22,The Fresh Prince of Bel-Air,NBC,14.3
1991–1992,22,Empty Nest,NBC,14.3
1991–1992,24,NBC Monday Movie,NBC,13.9
1991–1992,25,America's Funniest People,ABC,13.8
1991–1992,25,ABC Monday Movie,ABC,13.8
1991–1992,27,Family Matters,ABC,13.5
1991–1992,28,L.A. Law,NBC,13.3
1991–1992,29,48 Hours,CBS,13.2
1991–1992,30,In the Heat of the Night,NBC,13.1
1991–1992,30,The Golden Girls,NBC,13.1
1992–1993,1,60 Minutes,CBS,21.9
1992–1993,2,Roseanne,ABC,20.7
1992–1993,3,Home Improvement,ABC,19.4
1992–1993,4,Murphy Brown,CBS,17.9
1992–1993,5,"Murder, She Wrote",CBS,17.7
1992–1993,6,Coach,ABC,17.5
1992–1993,7,Monday Night Football,ABC,16.7
1992–1993,8,CBS Sunday Movie,CBS,16.1
1992–1993,8,Cheers,NBC,16.1
1992–1993,10,Full House,ABC,15.8
1992–1993,11,Northern Exposure,CBS,15.2
1992–1993,12,20/20,ABC,15.1
1992–1993,12,Rescue 911,CBS,15.1
1992–1993,14,CBS Tuesday Movie,CBS,14.8
1992–1993,15,Love & War,CBS,14.7
1992–1993,16,The Fresh Prince of Bel-Air,NBC,14.6
1992–1993,16,Hangin' with Mr. Cooper,ABC,14.6
1992–1993,16,The Jackie Thomas Show,ABC,14.6
1992–1993,19,Evening Shade,CBS,14.5
1992–1993,20,Hearts Afire,CBS,14.3
1992–1993,21,Unsolved Mysteries,NBC,14.2
1992–1993,22,Primetime Live,ABC,14.1
1992–1993,23,"Dr. Quinn, Medicine Woman",CBS,14.0
1992–1993,24,NBC Monday Movie,NBC,13.9
1992–1993,25,Seinfeld,NBC,13.7
1992–1993,26,48 Hours,CBS,13.5
1992–1993,26,Blossom,NBC,13.5
1992–1993,28,ABC Sunday Night Movie,ABC,13.3
1992–1993,28,Matlock,ABC,13.3
1992–1993,30,Wings,NBC,13.0
1992–1993,30,The Simpsons,FOX,13.0
1993–1994,1,60 Minutes,CBS,20.9
1993–1994,2,Home Improvement,ABC,20.4
1993–1994,3,Seinfeld,NBC,19.4
1993–1994,4,Roseanne,ABC,19.1
1993–1994,5,Grace Under Fire,ABC,17.7
1993–1994,6,Coach,ABC,17.4
1993–1994,7,Frasier,NBC,16.8
1993–1994,8,Monday Night Football,ABC,16.5
1993–1994,9,Murphy Brown,CBS,16.3
1993–1994,10,CBS Sunday Movie,CBS,16.2
1993–1994,11,"Murder, She Wrote",CBS,16.0
1993–1994,12,Thunder Alley,ABC,15.9
1993–1994,13,Love & War,CBS,14.5
1993–1994,14,Northern Exposure,CBS,14.4
1993–1994,15,20/20,ABC,14.3
1993–1994,16,Full House,ABC,14.2
1993–1994,17,Primetime Live,ABC,14.0
1993–1994,18,NYPD Blue,ABC,13.9
1993–1994,18,Wings,NBC,13.9
1993–1994,20,Turning Point,ABC,13.8
1993–1994,21,Dave's World,CBS,13.7
1993–1994,21,The Fresh Prince of Bel-Air,NBC,13.7
1993–1994,23,NBC Monday Movie,NBC,13.6
1993–1994,24,Homicide: Life on the Street,NBC,13.5
1993–1994,25,CBS Tuesday Movie,CBS,13.3
1993–1994,25,"Dr. Quinn, Medicine Woman",CBS,13.3
1993–1994,27,Phenom,ABC,13.2
1993–1994,27,Evening Shade,CBS,13.2
1993–1994,27,Rescue 911,CBS,13.2
1993–1994,30,ABC Sunday Night Movie,ABC,12.6
1993–1994,30,Family Matters,ABC,12.6
1994–1995,1,Seinfeld,NBC,20.6
1994–1995,2,ER,NBC,20.0
1994–1995,3,Home Improvement,ABC,19.5
1994–1995,4,Grace Under Fire,ABC,18.6
1994–1995,5,Monday Night Football,ABC,17.7
1994–1995,6,60 Minutes,CBS,17.2
1994–1995,7,NYPD Blue,ABC,16.5
1994–1995,8,"Murder, She Wrote",CBS,15.6
1994–1995,8,Friends,NBC,15.6
1994–1995,10,Roseanne,ABC,15.5
1994–1995,11,Mad About You,NBC,15.2
1994–1995,12,Madman of the People,NBC,14.9
1994–1995,13,Ellen,ABC,14.8
1994–1995,14,Hope and Gloria,NBC,14.6
1994–1995,15,Frasier,NBC,14.5
1994–1995,16,Murphy Brown,CBS,14.1
1994–1995,17,20/20,ABC,14.0
1994–1995,18,CBS Sunday Movie,CBS,13.7
1994–1995,19,NBC Monday Movie,NBC,13.6
1994–1995,20,Me and the Boys,ABC,13.1
1994–1995,21,Dave's World,CBS,12.9
1994–1995,22,Cybill,CBS,12.8
1994–1995,23,ABC Sunday Movie,ABC,12.7
1994–1995,24,The Nanny,CBS,12.5
1994–1995,25,Full House,ABC,12.4
1994–1995,26,Wings,NBC,12.3
1994–1995,27,Law & Order,NBC,12.2
1994–1995,28,NBC Sunday Night Movie,NBC,12.0
1994–1995,29,Chicago Hope,CBS,11.7
1994–1995,29,ABC Monday Night Movie,ABC,11.7
1994–1995,29,The Martin Short Show,NBC,11.7
1994–1995,29,Primetime Live,ABC,11.7
1995–1996,1,ER,NBC,22.0
1995–1996,2,Seinfeld,NBC,21.2
1995–1996,3,Friends,NBC,18.7
1995–1996,4,Caroline in the City,NBC,18.0
1995–1996,5,Monday Night Football,ABC,17.1
1995–1996,6,The Single Guy,NBC,16.7
1995–1996,7,Home Improvement,ABC,16.1
1995–1996,8,Boston Common,NBC,15.6
1995–1996,9,60 Minutes,CBS,14.2
1995–1996,10,NYPD Blue,ABC,14.1
1995–1996,11,20/20,ABC,13.6
1995–1996,11,Frasier,NBC,13.6
1995–1996,13,Grace Under Fire,ABC,13.2
1995–1996,14,NBC Monday Movie,NBC,12.9
1995–1996,14,Coach,ABC,12.9
1995–1996,16,The Nanny,CBS,12.5
1995–1996,16,Roseanne,ABC,12.5
1995–1996,18,"Walker, Texas Ranger",CBS,12.3
1995–1996,18,Primetime Live,ABC,12.3
1995–1996,18,Murphy Brown,CBS,12.3
1995–1996,21,NBC Sunday Movie,NBC,12.2
1995–1996,22,3rd Rock from the Sun,NBC,12.1
1995–1996,23,Chicago Hope,CBS,11.9
1995–1996,24,Law & Order,NBC,11.4
1995–1996,24,CBS Sunday Movie,CBS,11.4
1995–1996,24,The Naked Truth,ABC,11.4
1995–1996,24,Can't Hurry Love,CBS,11.4
1995–1996,28,Dateline NBC — Tuesday,NBC,11.3
1995–1996,28,Dateline NBC — Wednesday,NBC,11.3
1995–1996,30,The Dana Carvey Show,ABC,11.2
1996–1997,1,ER,NBC,21.2
1996–1997,2,Seinfeld,NBC,20.5
1996–1997,3,Suddenly Susan,NBC,17.0
1996–1997,4,Friends,NBC,16.8
1996–1997,4,The Naked Truth,NBC,16.8
1996–1997,6,Fired Up,NBC,16.5
1996–1997,7,Monday Night Football,ABC,16.0
1996–1997,8,The Single Guy,NBC,14.1
1996–1997,9,Home Improvement,ABC,14.0
1996–1997,10,Touched by an Angel,CBS,13.6
1996–1997,11,60 Minutes,CBS,13.3
1996–1997,12,20/20,ABC,12.8
1996–1997,13,NYPD Blue,ABC,12.5
1996–1997,14,CBS Sunday Movie,CBS,12.1
1996–1997,15,Primetime Live,ABC,11.9
1996–1997,16,Frasier,NBC,11.8
1996–1997,17,Spin City,ABC,11.7
1996–1997,18,NBC Sunday Movie,NBC,11.5
1996–1997,18,The Drew Carey Show,ABC,11.5
1996–1997,20,Dateline NBC — Tuesday,NBC,11.4
1996–1997,21,Cosby,CBS,11.2
1996–1997,21,The X-Files,FOX,11.2
1996–1997,23,"Walker, Texas Ranger",CBS,11.0
1996–1997,23,Mad About You,NBC,11.0
1996–1997,23,Caroline in the City,NBC,11.0
1996–1997,23,NBC Monday Movie,NBC,11.0
1996–1997,27,Law & Order,NBC,10.8
1996–1997,27,3rd Rock from the Sun,NBC,10.8
1996–1997,29,Ellen,ABC,10.6
1996–1997,30,Chicago Hope,CBS,10.5
1996–1997,30,Dateline NBC — Friday,NBC,10.5
1996–1997,30,Cybill,CBS,10.5
1997–1998,1,Seinfeld,NBC,22.0
1997–1998,2,ER,NBC,20.4
1997–1998,3,Veronica's Closet,NBC,16.6
1997–1998,4,Friends,NBC,16.1
1997–1998,5,Monday Night Football,ABC,15.0
1997–1998,6,Touched by an Angel,CBS,14.2
1997–1998,7,60 Minutes,CBS,13.8
1997–1998,8,Union Square,NBC,13.6
1997–1998,9,CBS Sunday Movie,CBS,13.1
1997–1998,10,Frasier,NBC,12.0
1997–1998,10,Home Improvement,ABC,12.0
1997–1998,12,Just Shoot Me!,NBC,11.9
1997–1998,13,Dateline NBC — Tuesday,NBC,11.5
1997–1998,14,Dateline NBC — Monday,NBC,11.4
1997–1998,15,The Drew Carey Show,ABC,11.1
1997–1998,16,20/20 — Friday,ABC,10.9
1997–1998,17,NYPD Blue,ABC,10.8
1997–1998,17,Primetime Live,ABC,10.8
1997–1998,19,The X-Files,FOX,10.6
1997–1998,20,Law & Order,NBC,10.2
1997–1998,21,20/20 — Monday,ABC,10.0
1997–1998,22,Diagnosis: Murder,CBS,9.8
1997–1998,23,King of the Hill,FOX,9.7
1997–1998,23,Mad About You,NBC,9.7
1997–1998,25,Cosby,CBS,9.5
1997–1998,25,Dharma & Greg,ABC,9.5
1997–1998,27,NBC Sunday Night Movie,NBC,9.4
1997–1998,28,Hiller and Diller,ABC,9.3
1997–1998,28,"Walker, Texas Ranger",CBS,9.3
1997–1998,30,Everybody Loves Raymond,CBS,9.2
1997–1998,30,The Simpsons,FOX,9.2
1998–1999,1,ER,NBC,17.8
1998–1999,2,Friends,NBC,15.7
1998–1999,3,Frasier,NBC,15.6
1998–1999,4,Monday Night Football,ABC,14.9
1998–1999,5,Veronica's Closet,NBC,13.7
1998–1999,5,Jesse,NBC,13.7
1998–1999,7,60 Minutes,CBS,13.2
1998–1999,8,Touched by an Angel,CBS,13.1
1998–1999,9,CBS Sunday Movie,CBS,12.0
1998–1999,10,Home Improvement,ABC,11.0
1998–1999,11,Everybody Loves Raymond,CBS,10.6
1998–1999,12,NYPD Blue,ABC,10.5
1998–1999,13,Law & Order,NBC,10.1
1998–1999,14,The Drew Carey Show,ABC,9.9
1998–1999,14,20/20 — Friday,ABC,9.9
1998–1999,16,Providence,NBC,9.8
1998–1999,16,20/20 — Wednesday,ABC,9.8
1998–1999,16,JAG,CBS,9.8
1998–1999,19,Dateline NBC — Tuesday,NBC,9.7
